class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label,based_on_value
NotatedMusic,Il primo libro de' madrigali a quattro voci di Giaches de Wert,,,Il primo libro de' madrigali a quattro voci di Giaches de Wert,Il primo libro de' madrigali a quattro voci di Giaches de Wert.md,WeSzmeHVLXTk,590997157361952138099,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV22530010,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de' madrigali a quattro voci di Giaches de Wert,,,Il primo libro de' madrigali a quattro voci di Giaches de Wert,Il primo libro de' madrigali a quattro voci di Giaches de Wert.md,WeSzmeHVLXTk,590997157361952138099,identifier,https://rism.online/sources/990068316,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de' madrigali a quattro voci di Giaches de Wert,,,Il primo libro de' madrigali a quattro voci di Giaches de Wert,Il primo libro de' madrigali a quattro voci di Giaches de Wert.md,WeSzmeHVLXTk,590997157361952138099,identifier,https://edit16.iccu.sbn.it/titolo/CNCE045848,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de' madrigali a quattro voci di Giaches de Wert,,,Il primo libro de' madrigali a quattro voci di Giaches de Wert,Il primo libro de' madrigali a quattro voci di Giaches de Wert.md,WeSzmeHVLXTk,590997157361952138099,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de' madrigali a quattro voci di Giaches de Wert,,,Il primo libro de' madrigali a quattro voci di Giaches de Wert,Il primo libro de' madrigali a quattro voci di Giaches de Wert.md,WeSzmeHVLXTk,590997157361952138099,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de' madrigali a quattro voci di Giaches de Wert,,,Il primo libro de' madrigali a quattro voci di Giaches de Wert,Il primo libro de' madrigali a quattro voci di Giaches de Wert.md,WeSzmeHVLXTk,590997157361952138099,title,,,,,,Il primo libro de' madrigali a quattro voci di Giaches de VVert nouamente posti in luce et da lui proprio corretti,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de' madrigali a quattro voci di Giaches de Wert,,,Il primo libro de' madrigali a quattro voci di Giaches de Wert,Il primo libro de' madrigali a quattro voci di Giaches de Wert.md,WeSzmeHVLXTk,590997157361952138099,inception,,,,,,,1561.0,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de' madrigali a quattro voci di Giaches de Wert,,,Il primo libro de' madrigali a quattro voci di Giaches de Wert,Il primo libro de' madrigali a quattro voci di Giaches de Wert.md,WeSzmeHVLXTk,590997157361952138099,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE045848,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EaDmr6ppAvfM', 'label': 'Girolamo Scotto'}",https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00075507,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1561.0,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00075507/manifest,,,,,,,,,
NotatedMusic,Il primo libro de' madrigali a quattro voci di Giaches de Wert,,,Il primo libro de' madrigali a quattro voci di Giaches de Wert,Il primo libro de' madrigali a quattro voci di Giaches de Wert.md,WeSzmeHVLXTk,590997157361952138099,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cBJV9SeGc3Sw,Giaches de Wert,,,,,,
NotatedMusic,Il primo libro de' madrigali a quattro voci di Giaches de Wert,,,Il primo libro de' madrigali a quattro voci di Giaches de Wert,Il primo libro de' madrigali a quattro voci di Giaches de Wert.md,WeSzmeHVLXTk,590997157361952138099,subject,,,,,,,,,,,,,,,,,,,,,,
