class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,notable_work_label
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,2yZYoUz5K9XG,20112160321283702537,identifier,,,,,,,,,,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,2yZYoUz5K9XG,20112160321283702537,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JjLg2AKb7hoK,(Teza 2017),,,,,,,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,2yZYoUz5K9XG,20112160321283702537,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,2yZYoUz5K9XG,20112160321283702537,inception,,,,,,,,,,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,2yZYoUz5K9XG,20112160321283702537,dissolved,,,,,,,,,,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,2yZYoUz5K9XG,20112160321283702537,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SQTa5GhBDAkg,Pavia,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,2yZYoUz5K9XG,20112160321283702537,official_website,,,,,,,,,,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,2yZYoUz5K9XG,20112160321283702537,catalog_identifier,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",162.0,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,2yZYoUz5K9XG,20112160321283702537,member,,,,,,,,,,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,2yZYoUz5K9XG,20112160321283702537,interested_in,,,,,,,,,,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,2yZYoUz5K9XG,20112160321283702537,notable_work,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nptoW2iRVsGH,Ragionamento di Luca Contile sopra la proprietà delle imprese con le particolari de gli Academici Affidati et con le interpretationi et croniche
