class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Filippo Alberti,Filippo Alberti.md,Filippo Alberti,cDXocHJozvQ7,705792236709331333268,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Filippo Alberti,Filippo Alberti.md,Filippo Alberti,cDXocHJozvQ7,705792236709331333268,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Filippo Alberti,Filippo Alberti.md,Filippo Alberti,cDXocHJozvQ7,705792236709331333268,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7ot3ZWvYYdmA,Perugia,,,,,,,,,,
Agent,Filippo Alberti,Filippo Alberti.md,Filippo Alberti,cDXocHJozvQ7,705792236709331333268,member_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJz77hnWWSNh,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S2kSCsCknAf3', 'label': '(Sacchini 2020)'}]",Accademia degli Insensati di Perugia,,,,,,,
Agent,Filippo Alberti,Filippo Alberti.md,Filippo Alberti,cDXocHJozvQ7,705792236709331333268,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Filippo Alberti,Filippo Alberti.md,Filippo Alberti,cDXocHJozvQ7,705792236709331333268,related_to,,,,,,,,,,,,,,,,
Agent,Filippo Alberti,Filippo Alberti.md,Filippo Alberti,cDXocHJozvQ7,705792236709331333268,notable_work,,,,,,,,,,,,,,,,
Agent,Filippo Alberti,Filippo Alberti.md,Filippo Alberti,cDXocHJozvQ7,705792236709331333268,interested_in,,,,,,,,,,,,,,,,
Agent,Filippo Alberti,Filippo Alberti.md,Filippo Alberti,cDXocHJozvQ7,705792236709331333268,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Filippo Alberti,Filippo Alberti.md,Filippo Alberti,cDXocHJozvQ7,705792236709331333268,present_in_work,,,,,,,,,,,,,,,,
