class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publisher,has_version_note,has_version_publication_date,contributor_value,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,h5Ang8vXP3Cc,805941984925077349501,identifier,https://musicare.beniculturali.unipd.it/database/editions/005825.html,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,h5Ang8vXP3Cc,805941984925077349501,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,h5Ang8vXP3Cc,805941984925077349501,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dRXM2UxsVRJj,Musicare DB,,,,,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,h5Ang8vXP3Cc,805941984925077349501,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,h5Ang8vXP3Cc,805941984925077349501,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gFBshLVTMG7b,incomplete,,,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,h5Ang8vXP3Cc,805941984925077349501,title,,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,h5Ang8vXP3Cc,805941984925077349501,inception,,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,h5Ang8vXP3Cc,805941984925077349501,has_version,,,,,,,,http://id.sbn.it/bid/MUS0158832,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bynxaW9GaKG8', 'label': 'Kunstmuseum Den Haag'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4EaQYo8TMzLM', 'label': 'Angelo Gardano'}",Altus is missing.,1607.0,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,h5Ang8vXP3Cc,805941984925077349501,contributor,,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,h5Ang8vXP3Cc,805941984925077349501,subject,,,,,,,,,,,,,,,,,,,
