class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,title_value,instance_of_value,instance_of_label,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,catalog_identifier_value
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",8SDPumaQEu22,132576506601038924193,identifier,https://edit16.iccu.sbn.it/titolo/CNCE054415,,,,,,,,,,,,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",8SDPumaQEu22,132576506601038924193,described_by_source,,,,,,,,,,,,,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",8SDPumaQEu22,132576506601038924193,title,,,"Oratione d'Adriano Valerini veronese, in morte della diuina signora Vincenza Armani, comica eccellentissima. Et alcune rime dell'istesso, e d'altri auttori, in lode della medesima. Con alquante leggiadre e belle compositioni di detta signora Vincenza",,,,,,,,,,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",8SDPumaQEu22,132576506601038924193,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NMqic8eqERvf,oration,,,,,,,,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",8SDPumaQEu22,132576506601038924193,inception,,,,,,1570.0,,,,,,,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",8SDPumaQEu22,132576506601038924193,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE054415,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PvBHcFy5Dvdr', 'label': 'Verona'}]",1570.0,,,,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",8SDPumaQEu22,132576506601038924193,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mg8U6QhVqEqK,Adriano Valerini,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",8SDPumaQEu22,132576506601038924193,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cPH3aNn2RnWp,Vincenza Armani,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",8SDPumaQEu22,132576506601038924193,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VvwqSP8dg3vT,elegy,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",8SDPumaQEu22,132576506601038924193,has_part,,,,,,,,,,,,,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",8SDPumaQEu22,132576506601038924193,based_on,,,,,,,,,,,,,,,,,
Book,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani",,,"Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani","Orazione d'Adriano Valerini veronese, in morte della divina signora Vincenza Armani.md",8SDPumaQEu22,132576506601038924193,catalog_identifier,,,,,,,,,,,,,,,,,
