class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",NbBuKBH3c4m6,424727977394512255534,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",NbBuKBH3c4m6,424727977394512255534,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",NbBuKBH3c4m6,424727977394512255534,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",NbBuKBH3c4m6,424727977394512255534,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FqBWCu5YvZzH,Dianora Sanseverino,,,,,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",NbBuKBH3c4m6,424727977394512255534,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8cwGVT3ZREMt,Laura Terracina,,,,,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",NbBuKBH3c4m6,424727977394512255534,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2TJweZdSVTg3,Alla S. Dianora Terracina.,22.0,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",NbBuKBH3c4m6,424727977394512255534,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",NbBuKBH3c4m6,424727977394512255534,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",NbBuKBH3c4m6,424727977394512255534,subject,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",NbBuKBH3c4m6,424727977394512255534,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,
