class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F053910000101_PPPP00145801C,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oGuCnrkrFAY9,Angelo Grillo,,,,,,,,,,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,part_of,,,,,,,,,136.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZmhzcSbPoocH,Di Livio Celiano.,Rime di diversi celebri poeti dell'età nostra,,,,,,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2i89qrxS3XR,metaphor,,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XLktudVaMszu,anaphora,,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PubAT9pHXRyP,ode,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DYmAPqoy7Zec,forest,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NbBMYT8M5qdr,flame,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Suq86ApyHSzQ,weeping,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5PPMvehXX5tk,ocean,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,jnuZkbCNwDq6,862328824306168490371,text,,,,,,,,,,,,,,,,,,,,,,,,,"CHI vuol veder un bosco
Di piante opaco, e folco,
Venga a vederlo mio trafitto cuore
Pien di saette, ohimè, pien di dolore;
Così l'ha concio Amore.

Chi vuol veder un mare
Sol di lagrime amare,
Venga a veder il lagrimoso humore,
Ch'io verso notte, e dì per gli occhi fuore;
Così m'ha concio Amore.

Chi vuol veder l'inferno
Con il suo foco eterno,
Venga a vedermi il sen pieno d'ardore,
Tormentato dal foco, e dal timore,
Così l'ha concio Amore.

E chi saper desia
Quale cagion sia,
Ch'Amor mi faccia bosco, e mare, e inferno,
Venga a veder questa mia tigre amata
Sì cruda, e sì spietata."
