class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value,described_by_source_value
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,WMHwrx2Fwxan,584785103664772109309,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,WMHwrx2Fwxan,584785103664772109309,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,WMHwrx2Fwxan,584785103664772109309,work_location,,,,,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,WMHwrx2Fwxan,584785103664772109309,member_of,,,,,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,WMHwrx2Fwxan,584785103664772109309,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,WMHwrx2Fwxan,584785103664772109309,related_to,,,,,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,WMHwrx2Fwxan,584785103664772109309,notable_work,,,,,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,WMHwrx2Fwxan,584785103664772109309,interested_in,,,,,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,WMHwrx2Fwxan,584785103664772109309,catalog_identifier,,,,,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,WMHwrx2Fwxan,584785103664772109309,present_in_work,,,,,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,WMHwrx2Fwxan,584785103664772109309,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q3617034,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,WMHwrx2Fwxan,584785103664772109309,described_by_source,,,,,,,,,,,,,,,
