class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,opposite_of_value,identifier_value
Concept,document,document.md,document,JHrGKtEArQaq,335911363397989652609,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nPiNkmzNYMpM,artificial object,,,
Concept,document,document.md,document,JHrGKtEArQaq,335911363397989652609,subclass_of,,,,,
Concept,document,document.md,document,JHrGKtEArQaq,335911363397989652609,opposite_of,,,,,
Concept,document,document.md,document,JHrGKtEArQaq,335911363397989652609,identifier,,,,,http://www.wikidata.org/entity/Q49848
