class,label,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,tenore,tenor,tenor.md,VzJ68XN6VVsG,577545245517719220335,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/66DXswkAqX8G,type of musical instrument,,
Concept,tenore,tenor,tenor.md,VzJ68XN6VVsG,577545245517719220335,subclass_of,,,,
Concept,tenore,tenor,tenor.md,VzJ68XN6VVsG,577545245517719220335,identifier,,,,http://www.wikidata.org/entity/Q27914
