class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value,identifier_value
PoeticWork,Madonna hor che direte,Madonna hor che direte.md,Madonna hor che direte,HAVtemqRko2X,312611897857535343173,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,
PoeticWork,Madonna hor che direte,Madonna hor che direte.md,Madonna hor che direte,HAVtemqRko2X,312611897857535343173,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BarcvHNHhyjC,Anton Francesco Doni,,,,,,,,,,,,,,
PoeticWork,Madonna hor che direte,Madonna hor che direte.md,Madonna hor che direte,HAVtemqRko2X,312611897857535343173,part_of,,,,,,,,,,,,,,,,,,,
PoeticWork,Madonna hor che direte,Madonna hor che direte.md,Madonna hor che direte,HAVtemqRko2X,312611897857535343173,based_on,,,,,,,,,,,,,,,,,,,
PoeticWork,Madonna hor che direte,Madonna hor che direte.md,Madonna hor che direte,HAVtemqRko2X,312611897857535343173,derivative_work,,,,,,,,,,,,,,,,,,,
PoeticWork,Madonna hor che direte,Madonna hor che direte.md,Madonna hor che direte,HAVtemqRko2X,312611897857535343173,subject,,,,,,,,,,,,,,,,,,,
PoeticWork,Madonna hor che direte,Madonna hor che direte.md,Madonna hor che direte,HAVtemqRko2X,312611897857535343173,poetic_type,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,,
PoeticWork,Madonna hor che direte,Madonna hor che direte.md,Madonna hor che direte,HAVtemqRko2X,312611897857535343173,metre,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,,
PoeticWork,Madonna hor che direte,Madonna hor che direte.md,Madonna hor che direte,HAVtemqRko2X,312611897857535343173,metre,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,,
PoeticWork,Madonna hor che direte,Madonna hor che direte.md,Madonna hor che direte,HAVtemqRko2X,312611897857535343173,depicts,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gHVGjgKjtq6V,woman,,,,
PoeticWork,Madonna hor che direte,Madonna hor che direte.md,Madonna hor che direte,HAVtemqRko2X,312611897857535343173,depicts,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ACTN7uuqiNiD,torment,,,,
PoeticWork,Madonna hor che direte,Madonna hor che direte.md,Madonna hor che direte,HAVtemqRko2X,312611897857535343173,depicts,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NbBMYT8M5qdr,flame,,,,
PoeticWork,Madonna hor che direte,Madonna hor che direte.md,Madonna hor che direte,HAVtemqRko2X,312611897857535343173,language,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,
PoeticWork,Madonna hor che direte,Madonna hor che direte.md,Madonna hor che direte,HAVtemqRko2X,312611897857535343173,text,,,,,,,,,,,,,,,,,,"Madonna, hor che direte,
Ch'n tutto l'amor mio perdut'havete
Voi pensavate sol darmi tormento
E pascermi di vento
Di parolette ardite,
Né mai farmi contento?

No, no quel foco in me del tutto è spento
Deggio aprirvi il mio cor madonna udite
Poiché sì cruda sete
In tutto l'amor mio perduto havete.",
PoeticWork,Madonna hor che direte,Madonna hor che direte.md,Madonna hor che direte,HAVtemqRko2X,312611897857535343173,identifier,,,,,,,,,,,,,,,,,,,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/001390000101_000000087200
