class,base_name,filename,label,id,n_id,property,instance_of_value,gender_value,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_source,catalog_identifier_value,identifier_value,described_by_source_value,described_by_source_label
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,2Pdscgmu8bbW,7830528953923745083,instance_of,,,,,,,,,,,,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,2Pdscgmu8bbW,7830528953923745083,gender,,,,,,,,,,,,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,2Pdscgmu8bbW,7830528953923745083,work_location,,,,,,,,,,,,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,2Pdscgmu8bbW,7830528953923745083,member_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VGeT8SCG2epE,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Accademia dei Gelati di Bologna,,,,,,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,2Pdscgmu8bbW,7830528953923745083,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/n8gFvD2DbXwH,playwright,,,,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,2Pdscgmu8bbW,7830528953923745083,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,2Pdscgmu8bbW,7830528953923745083,related_to,,,,,,,,,,,,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,2Pdscgmu8bbW,7830528953923745083,notable_work,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gQfPLJXEVPsT,La distruzione di Gierusalemme,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,2Pdscgmu8bbW,7830528953923745083,interested_in,,,,,,,,,,,,,,,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,2Pdscgmu8bbW,7830528953923745083,catalog_identifier,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fGNbusFoz4E3', 'label': 'Italian Women Writers'}",5039.0,,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,2Pdscgmu8bbW,7830528953923745083,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q15733674,,
Agent,Ridolfo Campeggi,Ridolfo Campeggi.md,Ridolfo Campeggi,2Pdscgmu8bbW,7830528953923745083,described_by_source,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kXtVbo8uQdf7,(Nicolaci 2017)
