class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_pseudonym,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Niccolò Barbieri,,,Niccolò Barbieri,Niccolò Barbieri.md,PMuzKdL3eLhe,440562730088583396459,identifier,http://www.wikidata.org/entity/Q2055429,,,,,,,,,,,,,,,,,
Agent,Niccolò Barbieri,,,Niccolò Barbieri,Niccolò Barbieri.md,PMuzKdL3eLhe,440562730088583396459,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,,
Agent,Niccolò Barbieri,,,Niccolò Barbieri,Niccolò Barbieri.md,PMuzKdL3eLhe,440562730088583396459,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Niccolò Barbieri,,,Niccolò Barbieri,Niccolò Barbieri.md,PMuzKdL3eLhe,440562730088583396459,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Niccolò Barbieri,,,Niccolò Barbieri,Niccolò Barbieri.md,PMuzKdL3eLhe,440562730088583396459,work_location,,,,,,,,,,,,,,,,,,
Agent,Niccolò Barbieri,,,Niccolò Barbieri,Niccolò Barbieri.md,PMuzKdL3eLhe,440562730088583396459,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25bYJWyLYHmp,Beltrame,Compagnia dei Confidenti,,,,,,,
Agent,Niccolò Barbieri,,,Niccolò Barbieri,Niccolò Barbieri.md,PMuzKdL3eLhe,440562730088583396459,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/65G5PeyB3GE6,playwright,,,,,
Agent,Niccolò Barbieri,,,Niccolò Barbieri,Niccolò Barbieri.md,PMuzKdL3eLhe,440562730088583396459,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/imEvebZ5kR6C,actor,,,,,
Agent,Niccolò Barbieri,,,Niccolò Barbieri,Niccolò Barbieri.md,PMuzKdL3eLhe,440562730088583396459,related_to,,,,,,,,,,,,,,,,,,
Agent,Niccolò Barbieri,,,Niccolò Barbieri,Niccolò Barbieri.md,PMuzKdL3eLhe,440562730088583396459,notable_work,,,,,,,,,,,,,,,,,,
Agent,Niccolò Barbieri,,,Niccolò Barbieri,Niccolò Barbieri.md,PMuzKdL3eLhe,440562730088583396459,interested_in,,,,,,,,,,,,,,,,,,
Agent,Niccolò Barbieri,,,Niccolò Barbieri,Niccolò Barbieri.md,PMuzKdL3eLhe,440562730088583396459,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Niccolò Barbieri,,,Niccolò Barbieri,Niccolò Barbieri.md,PMuzKdL3eLhe,440562730088583396459,present_in_work,,,,,,,,,,,,,,,,,,
