class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,GPCHBSu842TH,296570502968046628968,identifier,http://www.wikidata.org/entity/Q110215173,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,GPCHBSu842TH,296570502968046628968,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FhzJj6sXkzSq,(Teza 2017),,,,,,,,,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,GPCHBSu842TH,296570502968046628968,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,GPCHBSu842TH,296570502968046628968,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,GPCHBSu842TH,296570502968046628968,work_location,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,GPCHBSu842TH,296570502968046628968,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/htvvES2xJL7N,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FhzJj6sXkzSq', 'label': '(Teza 2017)'}]",Accademia degli Insensati di Perugia,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,GPCHBSu842TH,296570502968046628968,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LP7Tvk3ku96U,astronomer,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,GPCHBSu842TH,296570502968046628968,related_to,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,GPCHBSu842TH,296570502968046628968,notable_work,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,GPCHBSu842TH,296570502968046628968,interested_in,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,GPCHBSu842TH,296570502968046628968,catalog_identifier,,,,,,,,,,,,,,,,,
