class,label,aliases,base_name,filename,id,n_id,property,instance_of_value,subclass_of_value
Concept,art of memory,['ars memorandi'],art of memory,art of memory.md,NXXS5qJxyMGp,423403838656415541196,instance_of,,
Concept,art of memory,['ars memorandi'],art of memory,art of memory.md,NXXS5qJxyMGp,423403838656415541196,subclass_of,,
