class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value
MusicComposition,L'empio tuo strale Amore (Renaldi),,,L'empio tuo strale Amore (Renaldi),L'empio tuo strale Amore (Renaldi).md,Ws6pk5zWnqBt,595575444078217473710,identifier,,,,,,,,,,,,,,
MusicComposition,L'empio tuo strale Amore (Renaldi),,,L'empio tuo strale Amore (Renaldi),L'empio tuo strale Amore (Renaldi).md,Ws6pk5zWnqBt,595575444078217473710,described_by_source,,,,,,,,,,,,,,
MusicComposition,L'empio tuo strale Amore (Renaldi),,,L'empio tuo strale Amore (Renaldi),L'empio tuo strale Amore (Renaldi).md,Ws6pk5zWnqBt,595575444078217473710,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,
MusicComposition,L'empio tuo strale Amore (Renaldi),,,L'empio tuo strale Amore (Renaldi),L'empio tuo strale Amore (Renaldi).md,Ws6pk5zWnqBt,595575444078217473710,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dGUWfMNNCYuo,Gaspara Stampa,,,,,,,
MusicComposition,L'empio tuo strale Amore (Renaldi),,,L'empio tuo strale Amore (Renaldi),L'empio tuo strale Amore (Renaldi).md,Ws6pk5zWnqBt,595575444078217473710,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5UnJCVHBeMLK,Giulio Renaldi,,,,,,,
MusicComposition,L'empio tuo strale Amore (Renaldi),,,L'empio tuo strale Amore (Renaldi),L'empio tuo strale Amore (Renaldi).md,Ws6pk5zWnqBt,595575444078217473710,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MeeACQLwx6vz,Di Giulio Renaldi padovano il primo libro de madrigali a quattro voci,,,,,
MusicComposition,L'empio tuo strale Amore (Renaldi),,,L'empio tuo strale Amore (Renaldi),L'empio tuo strale Amore (Renaldi).md,Ws6pk5zWnqBt,595575444078217473710,instrumentation,,,,,,,,,,,,,,
MusicComposition,L'empio tuo strale Amore (Renaldi),,,L'empio tuo strale Amore (Renaldi),L'empio tuo strale Amore (Renaldi).md,Ws6pk5zWnqBt,595575444078217473710,based_on,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kk39LcQ7brPV,L'empio tuo strale Amore,,
MusicComposition,L'empio tuo strale Amore (Renaldi),,,L'empio tuo strale Amore (Renaldi),L'empio tuo strale Amore (Renaldi).md,Ws6pk5zWnqBt,595575444078217473710,derivative_work,,,,,,,,,,,,,,
MusicComposition,L'empio tuo strale Amore (Renaldi),,,L'empio tuo strale Amore (Renaldi),L'empio tuo strale Amore (Renaldi).md,Ws6pk5zWnqBt,595575444078217473710,text,,,,,,,,,,,,,,
