class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,E5iRLUFCaaJC,248973556147509320131,identifier,http://www.wikidata.org/entity/Q110136206,,,,,,,,,,,,,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,E5iRLUFCaaJC,248973556147509320131,described_by_source,,,,,,,,,,,,,,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,E5iRLUFCaaJC,248973556147509320131,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,E5iRLUFCaaJC,248973556147509320131,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,E5iRLUFCaaJC,248973556147509320131,work_location,,,,,,,,,,,,,,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,E5iRLUFCaaJC,248973556147509320131,member_of,,,,,,,,,,,,,,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,E5iRLUFCaaJC,248973556147509320131,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,E5iRLUFCaaJC,248973556147509320131,related_to,,,,,,,,,,,,,,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,E5iRLUFCaaJC,248973556147509320131,notable_work,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6RCgZiH6GJMA,Ascanio errante,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,E5iRLUFCaaJC,248973556147509320131,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G5HRmYcA2riQ,chivalric poem,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,E5iRLUFCaaJC,248973556147509320131,catalog_identifier,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/E3dmmmithx96', 'label': 'SHEWROTE'}",20440d1d-dcbf-40eb-843a-b78547bd2499
