class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,S'è ver quel che si legge,,,S'è ver quel che si legge,S'è ver quel che si legge.md,Bz4MqESne8jS,206011877983518326088,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F073070000101_PPPP00285400C,,,,,,,,,,,,,,,,,,,,
PoeticWork,S'è ver quel che si legge,,,S'è ver quel che si legge,S'è ver quel che si legge.md,Bz4MqESne8jS,206011877983518326088,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,
PoeticWork,S'è ver quel che si legge,,,S'è ver quel che si legge,S'è ver quel che si legge.md,Bz4MqESne8jS,206011877983518326088,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,
PoeticWork,S'è ver quel che si legge,,,S'è ver quel che si legge,S'è ver quel che si legge.md,Bz4MqESne8jS,206011877983518326088,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QG8DUy9nrgZ9,Luigi Transillo,,,,,,,,,,,,,
PoeticWork,S'è ver quel che si legge,,,S'è ver quel che si legge,S'è ver quel che si legge.md,Bz4MqESne8jS,206011877983518326088,part_of,,,,,,,,,,,,,,,,,,,,,
PoeticWork,S'è ver quel che si legge,,,S'è ver quel che si legge,S'è ver quel che si legge.md,Bz4MqESne8jS,206011877983518326088,based_on,,,,,,,,,,,,,,,,,,,,,
PoeticWork,S'è ver quel che si legge,,,S'è ver quel che si legge,S'è ver quel che si legge.md,Bz4MqESne8jS,206011877983518326088,derivative_work,,,,,,,,,,,,,,,,,,,,,
PoeticWork,S'è ver quel che si legge,,,S'è ver quel che si legge,S'è ver quel che si legge.md,Bz4MqESne8jS,206011877983518326088,subject,,,,,,,,,,,,,,,,,,,,,
PoeticWork,S'è ver quel che si legge,,,S'è ver quel che si legge,S'è ver quel che si legge.md,Bz4MqESne8jS,206011877983518326088,poetic_type,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,S'è ver quel che si legge,,,S'è ver quel che si legge,S'è ver quel che si legge.md,Bz4MqESne8jS,206011877983518326088,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,S'è ver quel che si legge,,,S'è ver quel che si legge,S'è ver quel che si legge.md,Bz4MqESne8jS,206011877983518326088,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,S'è ver quel che si legge,,,S'è ver quel che si legge,S'è ver quel che si legge.md,Bz4MqESne8jS,206011877983518326088,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JtFVPwAgP7uA,transformation,,,
PoeticWork,S'è ver quel che si legge,,,S'è ver quel che si legge,S'è ver quel che si legge.md,Bz4MqESne8jS,206011877983518326088,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gHVGjgKjtq6V,woman,,,
PoeticWork,S'è ver quel che si legge,,,S'è ver quel che si legge,S'è ver quel che si legge.md,Bz4MqESne8jS,206011877983518326088,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,S'è ver quel che si legge,,,S'è ver quel che si legge,S'è ver quel che si legge.md,Bz4MqESne8jS,206011877983518326088,text,,,,,,,,,,,,,,,,,,,,,"S'è ver quel che si legge,
Che l'amante in quel ch'ama si trasforma,
Presa l'amata forma,
Io non son più quel ch'era, ma son voi.
Se cosa, dunque, ho detto che v'annoi,
Non incolpate, donna, il parlar mio,
Ché la diceste voi, non la diss'io."
