class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_permalink,has_version_external_source,has_version_IIIF_manifest,has_version_holding_institution,contributor_role,contributor_value,contributor_note,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,6uNaWrewyNQQ,101137950854197834975,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV03640010,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,6uNaWrewyNQQ,101137950854197834975,identifier,https://rism.online/sources/990007264,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,6uNaWrewyNQQ,101137950854197834975,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,6uNaWrewyNQQ,101137950854197834975,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FcRrGt78cbeW,music score,,,,,,,,,,,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,6uNaWrewyNQQ,101137950854197834975,title,,,,,,"L'Euterpe di Domenico Brunetti bolognese, opera musicale di Madrigali, Canzonette, Arie, Stanze e Scherzi diversi, in Dialoghi & Echo, a una, due, tre et quattro voci, da cantarsi in theorba, arpicordo & altri stromenti. All'ill.mo & rev.mo sig. Scipione card.le Borghese, nepote di N.S. Paolo V",,,,,,,,,,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,6uNaWrewyNQQ,101137950854197834975,inception,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,6uNaWrewyNQQ,101137950854197834975,has_version,,,,,,,,1606.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9L5vRtvRmtKu', 'label': 'Ricciardo Amadino'}",http://catalogue.bnf.fr/ark:/12148/cb397816351,https://gallica.bnf.fr/ark:/12148/bpt6k1280276p,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1280276p/manifest.json,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a4rNvLRqq9fj', 'label': 'Bibliothèque nationale de France'}",,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,6uNaWrewyNQQ,101137950854197834975,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ejz27C7xDYGV,Dedication poem to the author.,Cesare Abelli,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,6uNaWrewyNQQ,101137950854197834975,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3w8mD8ZHzr23,,Domenico Brunetti,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,6uNaWrewyNQQ,101137950854197834975,subject,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,6uNaWrewyNQQ,101137950854197834975,has_part,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,6uNaWrewyNQQ,101137950854197834975,instrumentation,,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TVXPXNKywS5Z,continuo group
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,6uNaWrewyNQQ,101137950854197834975,instrumentation,,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YGaCWVaHnsUw,voice
