class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,XtiKQkt7awAq,616798760723311179779,identifier,http://www.wikidata.org/entity/Q946839,,,,,,,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,XtiKQkt7awAq,616798760723311179779,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hcYF7XcWJNGa,(Stras 2005),,,,,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,XtiKQkt7awAq,616798760723311179779,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL,(Stras 2018),,,,,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,XtiKQkt7awAq,616798760723311179779,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,XtiKQkt7awAq,616798760723311179779,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,XtiKQkt7awAq,616798760723311179779,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,XtiKQkt7awAq,616798760723311179779,member_of,,,,,,,,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,XtiKQkt7awAq,616798760723311179779,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,XtiKQkt7awAq,616798760723311179779,related_to,,,,,,,,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,XtiKQkt7awAq,616798760723311179779,notable_work,,,,,,,,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,XtiKQkt7awAq,616798760723311179779,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BL66bhcML892,riddle,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,XtiKQkt7awAq,616798760723311179779,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FdiBEDVUfTuf,academia fictiva,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,XtiKQkt7awAq,616798760723311179779,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,XtiKQkt7awAq,616798760723311179779,present_in_work,,,,,,,,,,,,,,,,,,
