class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,btogkstkNfhe,699376496955971950953,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,btogkstkNfhe,699376496955971950953,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,btogkstkNfhe,699376496955971950953,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,Venezia,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,btogkstkNfhe,699376496955971950953,member_of,,,,,,,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,btogkstkNfhe,699376496955971950953,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hYMECrC2z35,publisher,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,btogkstkNfhe,699376496955971950953,related_to,,,,,,,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,btogkstkNfhe,699376496955971950953,notable_work,,,,,,,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,btogkstkNfhe,699376496955971950953,interested_in,,,,,,,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,btogkstkNfhe,699376496955971950953,catalog_identifier,,,,,,,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,btogkstkNfhe,699376496955971950953,present_in_work,,,,,,,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,btogkstkNfhe,699376496955971950953,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q602163
