class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_value,member_value,member_label,interested_in_value,notable_work_value
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,QLZrMqfFnRGa,460708680310717400084,identifier,,,,,,,,,,,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,QLZrMqfFnRGa,460708680310717400084,described_by_source,,,,,,,,,,,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,QLZrMqfFnRGa,460708680310717400084,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,QLZrMqfFnRGa,460708680310717400084,inception,,,,,1558.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,QLZrMqfFnRGa,460708680310717400084,dissolved,,,,,,,1603.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,QLZrMqfFnRGa,460708680310717400084,location,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MYfqAMA7FA2N,Siena,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,QLZrMqfFnRGa,460708680310717400084,official_website,,,,,,,,,,,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,QLZrMqfFnRGa,460708680310717400084,catalog_identifier,,,,,,,,,,,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,QLZrMqfFnRGa,460708680310717400084,member,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dvfog2Bh9L63,Scipione Bargagli,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,QLZrMqfFnRGa,460708680310717400084,interested_in,,,,,,,,,,,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,QLZrMqfFnRGa,460708680310717400084,notable_work,,,,,,,,,,,,,,,,
