class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_volume,part_of_pages,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",6AEVRJuaiSSB,85519137896950040910,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F034390000103_004600010C,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",6AEVRJuaiSSB,85519137896950040910,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",6AEVRJuaiSSB,85519137896950040910,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",6AEVRJuaiSSB,85519137896950040910,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eDLkvXHFMYdu,Battista Guarini,,,,,,,,,,,,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",6AEVRJuaiSSB,85519137896950040910,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KKTrqWEV9nxB,,92.0,Parola di Donna amante. LXX.,Rime del molto illustre signor cavaliere Battista Guarini,,,,,,,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",6AEVRJuaiSSB,85519137896950040910,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",6AEVRJuaiSSB,85519137896950040910,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",6AEVRJuaiSSB,85519137896950040910,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PgcFuPe2GzQH,loyalty,,,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",6AEVRJuaiSSB,85519137896950040910,poetic_type,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",6AEVRJuaiSSB,85519137896950040910,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
