class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,kTYDDxgBN7oN,875950421752453286486,identifier,http://www.wikidata.org/entity/Q106298606,,,,,,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,kTYDDxgBN7oN,875950421752453286486,described_by_source,,,,,,,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,kTYDDxgBN7oN,875950421752453286486,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,kTYDDxgBN7oN,875950421752453286486,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,kTYDDxgBN7oN,875950421752453286486,work_location,,,,,,,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,kTYDDxgBN7oN,875950421752453286486,member_of,,,,,,,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,kTYDDxgBN7oN,875950421752453286486,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,kTYDDxgBN7oN,875950421752453286486,related_to,,,,,,,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,kTYDDxgBN7oN,875950421752453286486,notable_work,,,,,,,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,kTYDDxgBN7oN,875950421752453286486,interested_in,,,,,,,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,kTYDDxgBN7oN,875950421752453286486,catalog_identifier,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",15720.0
