class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Fedele Onofri,Fedele Onofri.md,Fedele Onofri,Dctmm6NH4inS,239626480854500814810,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Fedele Onofri,Fedele Onofri.md,Fedele Onofri,Dctmm6NH4inS,239626480854500814810,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Fedele Onofri,Fedele Onofri.md,Fedele Onofri,Dctmm6NH4inS,239626480854500814810,work_location,,,,,,,,,,,,,
Agent,Fedele Onofri,Fedele Onofri.md,Fedele Onofri,Dctmm6NH4inS,239626480854500814810,member_of,,,,,,,,,,,,,
Agent,Fedele Onofri,Fedele Onofri.md,Fedele Onofri,Dctmm6NH4inS,239626480854500814810,occupation,,,,,,,,,,,,,
Agent,Fedele Onofri,Fedele Onofri.md,Fedele Onofri,Dctmm6NH4inS,239626480854500814810,related_to,,,,,,,,,,,,,
Agent,Fedele Onofri,Fedele Onofri.md,Fedele Onofri,Dctmm6NH4inS,239626480854500814810,notable_work,,,,,,,,,,,,,
Agent,Fedele Onofri,Fedele Onofri.md,Fedele Onofri,Dctmm6NH4inS,239626480854500814810,interested_in,,,,,,,,,,,,,
Agent,Fedele Onofri,Fedele Onofri.md,Fedele Onofri,Dctmm6NH4inS,239626480854500814810,catalog_identifier,,,,,,,,,,,,,
Agent,Fedele Onofri,Fedele Onofri.md,Fedele Onofri,Dctmm6NH4inS,239626480854500814810,present_in_work,,,,,,,,,,,,,
Agent,Fedele Onofri,Fedele Onofri.md,Fedele Onofri,Dctmm6NH4inS,239626480854500814810,identifier,,,,,,,,,,,,,http://www.wikidata.org/entity/Q41617311
