class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value,opposite_of_value,opposite_of_label
Concept,['pupil'],student,student.md,student,PisMNabZrMmn,448148610017601625055,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Et64EF5pK79G,occupation,,,,
Concept,['pupil'],student,student.md,student,PisMNabZrMmn,448148610017601625055,subclass_of,,,,,,
Concept,['pupil'],student,student.md,student,PisMNabZrMmn,448148610017601625055,identifier,,,,http://www.wikidata.org/entity/Q48282,,
Concept,['pupil'],student,student.md,student,PisMNabZrMmn,448148610017601625055,opposite_of,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XDaY2f6i5fwG,teacher
