class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publication_date,has_version_permalink,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,based_on_label
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,6RCgZiH6GJMA,90938177105954229686,identifier,http://id.sbn.it/bid/CFIE004827,,,,,,,,,,,,,,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,6RCgZiH6GJMA,90938177105954229686,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6rYwUPnKokCv,OPAC SBN,,,,,,,,,,,,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,6RCgZiH6GJMA,90938177105954229686,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G5HRmYcA2riQ,chivalric poem,,,,,,,,,,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,6RCgZiH6GJMA,90938177105954229686,title,,,,,,Ascanio errante poema della Barbera Tigliamochi degl'Albizi gentildonna fiorentina,,,,,,,,,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,6RCgZiH6GJMA,90938177105954229686,inception,,,,,,,,,,,,,,,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,6RCgZiH6GJMA,90938177105954229686,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Hm8LNCNr7Wxn', 'label': 'Firenze'}]",1640.0,http://id.sbn.it/bid/CFIE004827,https://www.google.be/books/edition/_/ezPNQ5j0YUcC,,,,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,6RCgZiH6GJMA,90938177105954229686,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kdhP2KUiWAF9,Vittoria della Rovere,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,6RCgZiH6GJMA,90938177105954229686,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/E5iRLUFCaaJC,Barbara degli Albizzi Tagliamochi,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,6RCgZiH6GJMA,90938177105954229686,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Xf5XXx6QrdyX,chivalry,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,6RCgZiH6GJMA,90938177105954229686,has_part,,,,,,,,,,,,,,,,,,,
Book,Ascanio errante,,,Ascanio errante,Ascanio errante.md,6RCgZiH6GJMA,90938177105954229686,based_on,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FSsfkMyDLbzE,Orlando furioso
