class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_volume,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",BENnyRUGAwG9,190199539460862359293,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",BENnyRUGAwG9,190199539460862359293,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",BENnyRUGAwG9,190199539460862359293,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",BENnyRUGAwG9,190199539460862359293,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cnEPDxq7rFvj,Virginia Martini Salvi,,,,,,,,,,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",BENnyRUGAwG9,190199539460862359293,part_of,,,,,,,,155.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ENUbQJ8t6z8B,1.0,Virginia Martini Salvi.,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,,,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",BENnyRUGAwG9,190199539460862359293,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",BENnyRUGAwG9,190199539460862359293,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",BENnyRUGAwG9,190199539460862359293,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MFkDrmE7jx9f,oxymoron,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",BENnyRUGAwG9,190199539460862359293,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3eQerXqUEkt2,juxtaposition,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",BENnyRUGAwG9,190199539460862359293,poetic_type,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",BENnyRUGAwG9,190199539460862359293,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",BENnyRUGAwG9,190199539460862359293,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",BENnyRUGAwG9,190199539460862359293,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DZwg5ijCKnjb,light beam,,,
PoeticWork,"Dolci sdegni, e dolc'ire",,,"Dolci sdegni, e dolc'ire","Dolci sdegni, e dolc'ire.md",BENnyRUGAwG9,190199539460862359293,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/D3F7Qwb9dCYu,death,,,
