class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Pantalone,,,Pantalone,Pantalone.md,ncorLEqotTVc,920579928579427347205,identifier,http://www.wikidata.org/entity/Q17307,,,,,,,,,,,,,,,
Agent,Pantalone,,,Pantalone,Pantalone.md,ncorLEqotTVc,920579928579427347205,described_by_source,,,,,,,,,,,,,,,,
Agent,Pantalone,,,Pantalone,Pantalone.md,ncorLEqotTVc,920579928579427347205,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FeQqwKLG5FHE,literary character,,,,,,,,,,,,
Agent,Pantalone,,,Pantalone,Pantalone.md,ncorLEqotTVc,920579928579427347205,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Pantalone,,,Pantalone,Pantalone.md,ncorLEqotTVc,920579928579427347205,work_location,,,,,,,,,,,,,,,,
Agent,Pantalone,,,Pantalone,Pantalone.md,ncorLEqotTVc,920579928579427347205,member_of,,,,,,,,,,,,,,,,
Agent,Pantalone,,,Pantalone,Pantalone.md,ncorLEqotTVc,920579928579427347205,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kUPCzHSbBvrE,senior,,,,,,
Agent,Pantalone,,,Pantalone,Pantalone.md,ncorLEqotTVc,920579928579427347205,related_to,,,,,,,,,,,,,,,,
Agent,Pantalone,,,Pantalone,Pantalone.md,ncorLEqotTVc,920579928579427347205,notable_work,,,,,,,,,,,,,,,,
Agent,Pantalone,,,Pantalone,Pantalone.md,ncorLEqotTVc,920579928579427347205,interested_in,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ye88EjEg6hpa,commedia dell'arte,,
Agent,Pantalone,,,Pantalone,Pantalone.md,ncorLEqotTVc,920579928579427347205,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Pantalone,,,Pantalone,Pantalone.md,ncorLEqotTVc,920579928579427347205,present_in_work,,,,,,,,,,,,,,,,
