class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_volume,part_of_value,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Vibrate altere Donne a'sen che tardi,,,Vibrate altere Donne a'sen che tardi,Vibrate altere Donne a'sen che tardi.md,2kSS6v6Rxwe7,15360518913554298497,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Vibrate altere Donne a'sen che tardi,,,Vibrate altere Donne a'sen che tardi,Vibrate altere Donne a'sen che tardi.md,2kSS6v6Rxwe7,15360518913554298497,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Vibrate altere Donne a'sen che tardi,,,Vibrate altere Donne a'sen che tardi,Vibrate altere Donne a'sen che tardi.md,2kSS6v6Rxwe7,15360518913554298497,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Vibrate altere Donne a'sen che tardi,,,Vibrate altere Donne a'sen che tardi,Vibrate altere Donne a'sen che tardi.md,2kSS6v6Rxwe7,15360518913554298497,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fXurj2BzALG4,Vincenzo Panciatichi,,,,,,,,,,,,,,,,,,
PoeticWork,Vibrate altere Donne a'sen che tardi,,,Vibrate altere Donne a'sen che tardi,Vibrate altere Donne a'sen che tardi.md,2kSS6v6Rxwe7,15360518913554298497,part_of,,,,,,,,Amore. Del Sig. Cavalliero Vincenzo Panciatichi. Cartello Primo,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YYFRNeCKx9AL,43.0,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,,,,,,,,,,,,,
PoeticWork,Vibrate altere Donne a'sen che tardi,,,Vibrate altere Donne a'sen che tardi,Vibrate altere Donne a'sen che tardi.md,2kSS6v6Rxwe7,15360518913554298497,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Vibrate altere Donne a'sen che tardi,,,Vibrate altere Donne a'sen che tardi,Vibrate altere Donne a'sen che tardi.md,2kSS6v6Rxwe7,15360518913554298497,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Vibrate altere Donne a'sen che tardi,,,Vibrate altere Donne a'sen che tardi,Vibrate altere Donne a'sen che tardi.md,2kSS6v6Rxwe7,15360518913554298497,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2i89qrxS3XR,metaphor,,,,,,,,,
PoeticWork,Vibrate altere Donne a'sen che tardi,,,Vibrate altere Donne a'sen che tardi,Vibrate altere Donne a'sen che tardi.md,2kSS6v6Rxwe7,15360518913554298497,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,Vibrate altere Donne a'sen che tardi,,,Vibrate altere Donne a'sen che tardi,Vibrate altere Donne a'sen che tardi.md,2kSS6v6Rxwe7,15360518913554298497,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,
PoeticWork,Vibrate altere Donne a'sen che tardi,,,Vibrate altere Donne a'sen che tardi,Vibrate altere Donne a'sen che tardi.md,2kSS6v6Rxwe7,15360518913554298497,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Vibrate altere Donne a'sen che tardi,,,Vibrate altere Donne a'sen che tardi,Vibrate altere Donne a'sen che tardi.md,2kSS6v6Rxwe7,15360518913554298497,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gHVGjgKjtq6V,woman,,,
PoeticWork,Vibrate altere Donne a'sen che tardi,,,Vibrate altere Donne a'sen che tardi,Vibrate altere Donne a'sen che tardi.md,2kSS6v6Rxwe7,15360518913554298497,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/M78kPRCB9pow,revenge,,,
PoeticWork,Vibrate altere Donne a'sen che tardi,,,Vibrate altere Donne a'sen che tardi,Vibrate altere Donne a'sen che tardi.md,2kSS6v6Rxwe7,15360518913554298497,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Vibrate altere Donne a'sen che tardi,,,Vibrate altere Donne a'sen che tardi,Vibrate altere Donne a'sen che tardi.md,2kSS6v6Rxwe7,15360518913554298497,text,,,,,,,,,,,,,,,,,,,,,,,,,"Vibrate altere Donne a' sen che tardi
Conosciuti han di voi l'eterno pregio,
In vece d'armi gl'amorosi sguardi;
E portate di lor superbo fregio
Io perché nullo indugio a me ritardi,
Vittoria eccelsa, feritore egregio
Ne' vaghi volti vostri il tempo, e l'armi
Sceglio, de l'aspra ingiuria a vendicarmi."
