class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,eT7HYYCeNwWA,751976717865315752000,identifier,http://www.wikidata.org/entity/Q141016656,,,,,,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,eT7HYYCeNwWA,751976717865315752000,described_by_source,,,,,,,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,eT7HYYCeNwWA,751976717865315752000,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,eT7HYYCeNwWA,751976717865315752000,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,eT7HYYCeNwWA,751976717865315752000,work_location,,,,,,,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,eT7HYYCeNwWA,751976717865315752000,member_of,,,,,,,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,eT7HYYCeNwWA,751976717865315752000,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dbNtcx3kn4i7,editor,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,eT7HYYCeNwWA,751976717865315752000,related_to,,,,,,,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,eT7HYYCeNwWA,751976717865315752000,notable_work,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P8SrSEsmySeq,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,eT7HYYCeNwWA,751976717865315752000,interested_in,,,,,,,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,eT7HYYCeNwWA,751976717865315752000,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,eT7HYYCeNwWA,751976717865315752000,present_in_work,,,,,,,,,,,,,,,,
