class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_holding_institution,has_version_IIIF_manifest,has_version_place_of_publication,has_version_publication_date,has_version_permalink,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value
Book,"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII",,['De secretis'],"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII","Somniorum synesiorum, omnis generis insomina explicantes Libri IIII.md",mFpHD4eb2XAq,892343988991559060603,identifier,,,,,,,,,,,,,,,,,,,,,,,
Book,"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII",,['De secretis'],"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII","Somniorum synesiorum, omnis generis insomina explicantes Libri IIII.md",mFpHD4eb2XAq,892343988991559060603,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PdqQDrJWGC9w,(Ray 2015),,,,,,,,,,,,,,,,,,,,
Book,"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII",,['De secretis'],"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII","Somniorum synesiorum, omnis generis insomina explicantes Libri IIII.md",mFpHD4eb2XAq,892343988991559060603,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m7L8ASjPN8nA,treatise,,,,,,,,,,,,,,,,,,
Book,"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII",,['De secretis'],"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII","Somniorum synesiorum, omnis generis insomina explicantes Libri IIII.md",mFpHD4eb2XAq,892343988991559060603,title,,,,,,,,,,,,,,,,,,,,,,,
Book,"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII",,['De secretis'],"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII","Somniorum synesiorum, omnis generis insomina explicantes Libri IIII.md",mFpHD4eb2XAq,892343988991559060603,inception,,,,,,,1562.0,,,,,,,,,,,,,,,,
Book,"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII",,['De secretis'],"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII","Somniorum synesiorum, omnis generis insomina explicantes Libri IIII.md",mFpHD4eb2XAq,892343988991559060603,has_version,,,,,,,,https://www.digitale-sammlungen.de/en/view/bsb11220889,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11220889/manifest,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kgz6CqVHQzvw', 'label': 'Basel'}]",1562.0,https://mdz-nbn-resolving.de/details:bsb11220889,Volume 1,,,,,,,,,
Book,"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII",,['De secretis'],"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII","Somniorum synesiorum, omnis generis insomina explicantes Libri IIII.md",mFpHD4eb2XAq,892343988991559060603,has_version,,,,,,,,https://www.digitale-sammlungen.de/en/view/bsb11220890,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11220890/manifest,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kgz6CqVHQzvw', 'label': 'Basel'}]",1562.0,https://mdz-nbn-resolving.de/details:bsb11220889,Volume 2,,,,,,,,,
Book,"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII",,['De secretis'],"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII","Somniorum synesiorum, omnis generis insomina explicantes Libri IIII.md",mFpHD4eb2XAq,892343988991559060603,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpQ6pKz4YsX6,Gerolamo Cardano,,,,,,
Book,"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII",,['De secretis'],"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII","Somniorum synesiorum, omnis generis insomina explicantes Libri IIII.md",mFpHD4eb2XAq,892343988991559060603,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AYVR3qzVaKdp,secret,,,,
Book,"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII",,['De secretis'],"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII","Somniorum synesiorum, omnis generis insomina explicantes Libri IIII.md",mFpHD4eb2XAq,892343988991559060603,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WziXzP4KdMYo,alchemy,,,,
