class,base_name,filename,label,id,n_id,property,identifier_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,27cy82yr7S7z,2032256730394388861,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/025810000101_PPPP00260406,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,27cy82yr7S7z,2032256730394388861,instance_of,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,27cy82yr7S7z,2032256730394388861,contributor,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QUHAq7K8fEy9,Jacopo Sannazaro,,,,,,,,,,,,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,27cy82yr7S7z,2032256730394388861,part_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZYzyG5Kmbf7X,Egloga V,Arcadia del Sannazaro,,,,,,,,,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,27cy82yr7S7z,2032256730394388861,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,27cy82yr7S7z,2032256730394388861,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,27cy82yr7S7z,2032256730394388861,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ruLTSyv8VeY,pastoral,,,,,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,27cy82yr7S7z,2032256730394388861,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/X5mzWGfcQaQ3,eclogue,,,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,27cy82yr7S7z,2032256730394388861,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,27cy82yr7S7z,2032256730394388861,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,27cy82yr7S7z,2032256730394388861,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ddw2PSbVUZ6t,shepherd,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,27cy82yr7S7z,2032256730394388861,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9R22nChmKScL,celestial body,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,27cy82yr7S7z,2032256730394388861,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,27cy82yr7S7z,2032256730394388861,text,,,,,,,,,,,,,,,,,,,,,,"Alma beata e bella,
Che da' legami sciolta
Nuda salisti ne' superni chiostri,
Ove con la tua stella
Ti godi insieme accolta;
E lieta ivi schernendo i pensier' nostri,
Quasi un bel sol ti mostri
Tra li più chiari spirti;
E coi vestigi santi
Calchi le stelle erranti;
E tra pure fontane e sacri mirti
Pasci celesti greggi,
E i tuoi cari pastori indi correggi."
