class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,opposite_of_value,identifier_value
Concept,"['liuto', 'luth']",lute,lute.md,lute,QakAVhWbM8b9,465842571225938197216,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/66DXswkAqX8G,type of musical instrument,,,
Concept,"['liuto', 'luth']",lute,lute.md,lute,QakAVhWbM8b9,465842571225938197216,subclass_of,,,,,
Concept,"['liuto', 'luth']",lute,lute.md,lute,QakAVhWbM8b9,465842571225938197216,opposite_of,,,,,
Concept,"['liuto', 'luth']",lute,lute.md,lute,QakAVhWbM8b9,465842571225938197216,identifier,,,,,http://www.wikidata.org/entity/Q180733
