class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Ingiustissimo Amor perché sì raro,,,Ingiustissimo Amor perché sì raro,Ingiustissimo Amor perché sì raro.md,KEHKemgmNx4m,355251936258591052468,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F018450000101_PPPP00015400C,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ingiustissimo Amor perché sì raro,,,Ingiustissimo Amor perché sì raro,Ingiustissimo Amor perché sì raro.md,KEHKemgmNx4m,355251936258591052468,identifier,https://versologie.cz/poetree/browser/poem?corpus=it&id_poem=14488,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ingiustissimo Amor perché sì raro,,,Ingiustissimo Amor perché sì raro,Ingiustissimo Amor perché sì raro.md,KEHKemgmNx4m,355251936258591052468,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ingiustissimo Amor perché sì raro,,,Ingiustissimo Amor perché sì raro,Ingiustissimo Amor perché sì raro.md,KEHKemgmNx4m,355251936258591052468,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Ingiustissimo Amor perché sì raro,,,Ingiustissimo Amor perché sì raro,Ingiustissimo Amor perché sì raro.md,KEHKemgmNx4m,355251936258591052468,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8qMTBqEnmhVL,Ludovico Ariosto,,,,,,,,,,,,,,,,
PoeticWork,Ingiustissimo Amor perché sì raro,,,Ingiustissimo Amor perché sì raro,Ingiustissimo Amor perché sì raro.md,KEHKemgmNx4m,355251936258591052468,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FSsfkMyDLbzE,"Canto II, 1",Orlando furioso,,,,,,,,,,,,,
PoeticWork,Ingiustissimo Amor perché sì raro,,,Ingiustissimo Amor perché sì raro,Ingiustissimo Amor perché sì raro.md,KEHKemgmNx4m,355251936258591052468,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ingiustissimo Amor perché sì raro,,,Ingiustissimo Amor perché sì raro,Ingiustissimo Amor perché sì raro.md,KEHKemgmNx4m,355251936258591052468,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ingiustissimo Amor perché sì raro,,,Ingiustissimo Amor perché sì raro,Ingiustissimo Amor perché sì raro.md,KEHKemgmNx4m,355251936258591052468,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3eQerXqUEkt2,juxtaposition,,,,,,,,,
PoeticWork,Ingiustissimo Amor perché sì raro,,,Ingiustissimo Amor perché sì raro,Ingiustissimo Amor perché sì raro.md,KEHKemgmNx4m,355251936258591052468,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MFkDrmE7jx9f,oxymoron,,,,,,,,,
