class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,JcnbqU4wTkFY,342766765820098143861,identifier,,,,,,,,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,JcnbqU4wTkFY,342766765820098143861,described_by_source,,,,,,,,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,JcnbqU4wTkFY,342766765820098143861,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TuhZnsrVW6Mf,academy,,,,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,JcnbqU4wTkFY,342766765820098143861,inception,,,,,1546.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,JcnbqU4wTkFY,342766765820098143861,dissolved,,,,,,,1562.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,JcnbqU4wTkFY,342766765820098143861,location,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AC4Js3EhuZqL,Bologna,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,JcnbqU4wTkFY,342766765820098143861,official_website,,,,,,,,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,JcnbqU4wTkFY,342766765820098143861,catalog_identifier,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",16.0,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,JcnbqU4wTkFY,342766765820098143861,member,,,,,,,,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,JcnbqU4wTkFY,342766765820098143861,interested_in,,,,,,,,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,JcnbqU4wTkFY,342766765820098143861,notable_work,,,,,,,,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,JcnbqU4wTkFY,342766765820098143861,related_to,,,,,,,,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,JcnbqU4wTkFY,342766765820098143861,motto,,,,,,,,,,,,,,,,,,
