class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_pseudonym,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Cesare Abelli,,,Cesare Abelli,Cesare Abelli.md,HdyaPc6TBosQ,322562603358805966306,identifier,,,,,,,,,,,,,,,,,,,
Agent,Cesare Abelli,,,Cesare Abelli,Cesare Abelli.md,HdyaPc6TBosQ,322562603358805966306,described_by_source,,,,,,,,,,,,,,,,,,,
Agent,Cesare Abelli,,,Cesare Abelli,Cesare Abelli.md,HdyaPc6TBosQ,322562603358805966306,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Cesare Abelli,,,Cesare Abelli,Cesare Abelli.md,HdyaPc6TBosQ,322562603358805966306,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,
Agent,Cesare Abelli,,,Cesare Abelli,Cesare Abelli.md,HdyaPc6TBosQ,322562603358805966306,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NAvcJHrBT6mr,Bologna,,,,,,,,,,,
Agent,Cesare Abelli,,,Cesare Abelli,Cesare Abelli.md,HdyaPc6TBosQ,322562603358805966306,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eaDP4ShYyXLq,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KD8CF8tAiKnw', 'label': ""L'Euterpe di Domenico Brunetti""}]",Il Soligno,Accademia dei Selvaggi di Bologna,,,,,,,
Agent,Cesare Abelli,,,Cesare Abelli,Cesare Abelli.md,HdyaPc6TBosQ,322562603358805966306,occupation,,,,,,,,,,,,,,,,,,,
Agent,Cesare Abelli,,,Cesare Abelli,Cesare Abelli.md,HdyaPc6TBosQ,322562603358805966306,related_to,,,,,,,,,,,,,,,,,,,
Agent,Cesare Abelli,,,Cesare Abelli,Cesare Abelli.md,HdyaPc6TBosQ,322562603358805966306,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Cesare Abelli,,,Cesare Abelli,Cesare Abelli.md,HdyaPc6TBosQ,322562603358805966306,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Cesare Abelli,,,Cesare Abelli,Cesare Abelli.md,HdyaPc6TBosQ,322562603358805966306,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",5100.0,
Agent,Cesare Abelli,,,Cesare Abelli,Cesare Abelli.md,HdyaPc6TBosQ,322562603358805966306,present_in_work,,,,,,,,,,,,,,,,,,,
