class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_reference,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value,present_in_work_label
Agent,Giovanni Pellesini,,['Pedrolino'],Giovanni Pellesini,Giovanni Pellesini.md,ekDAyv7WiddR,758168662891585330370,identifier,http://www.wikidata.org/entity/Q17631735,,,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Pellesini,,['Pedrolino'],Giovanni Pellesini,Giovanni Pellesini.md,ekDAyv7WiddR,758168662891585330370,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,,,,,,
Agent,Giovanni Pellesini,,['Pedrolino'],Giovanni Pellesini,Giovanni Pellesini.md,ekDAyv7WiddR,758168662891585330370,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,
Agent,Giovanni Pellesini,,['Pedrolino'],Giovanni Pellesini,Giovanni Pellesini.md,ekDAyv7WiddR,758168662891585330370,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,,
Agent,Giovanni Pellesini,,['Pedrolino'],Giovanni Pellesini,Giovanni Pellesini.md,ekDAyv7WiddR,758168662891585330370,work_location,,,,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Pellesini,,['Pedrolino'],Giovanni Pellesini,Giovanni Pellesini.md,ekDAyv7WiddR,758168662891585330370,member_of,,,,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Pellesini,,['Pedrolino'],Giovanni Pellesini,Giovanni Pellesini.md,ekDAyv7WiddR,758168662891585330370,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/imEvebZ5kR6C,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX', 'label': '(Ferrone 2011)'}]",actor,,,,,,,,,,
Agent,Giovanni Pellesini,,['Pedrolino'],Giovanni Pellesini,Giovanni Pellesini.md,ekDAyv7WiddR,758168662891585330370,related_to,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ikLPqBsoWwKi,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dgKg5TTeCUfa', 'label': 'employee'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX', 'label': '(Ferrone 2011)'}]",Alfonso II d'Este,,,,,,
Agent,Giovanni Pellesini,,['Pedrolino'],Giovanni Pellesini,Giovanni Pellesini.md,ekDAyv7WiddR,758168662891585330370,notable_work,,,,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Pellesini,,['Pedrolino'],Giovanni Pellesini,Giovanni Pellesini.md,ekDAyv7WiddR,758168662891585330370,interested_in,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,
Agent,Giovanni Pellesini,,['Pedrolino'],Giovanni Pellesini,Giovanni Pellesini.md,ekDAyv7WiddR,758168662891585330370,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Pellesini,,['Pedrolino'],Giovanni Pellesini,Giovanni Pellesini.md,ekDAyv7WiddR,758168662891585330370,present_in_work,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZaTzczedg7Mk,"La gran vittoria di Pedrolino contra il dottor Gratiano, per amor de la bella Franceschina"
