class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_permalink,has_version_publisher,has_version_note,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi",,,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi","De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi.md",ZLkECjPHfxmg,646497616170492526298,identifier,https://edit16.iccu.sbn.it/titolo/CNCE003330,,,,,,,,,,,,,,,,,,
Book,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi",,,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi","De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi.md",ZLkECjPHfxmg,646497616170492526298,described_by_source,,,,,,,,,,,,,,,,,,,
Book,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi",,,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi","De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi.md",ZLkECjPHfxmg,646497616170492526298,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,,
Book,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi",,,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi","De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi.md",ZLkECjPHfxmg,646497616170492526298,title,,,,,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi, libro primo [-secondo]. Con vna tauola del medesimo, ne la quale, oltre molte altre cose degne di notitia, taluolta si dichiarano alcune cose pertinenti a la lingua toscana, et a l'arte del poetare",,,,,,,,,,,,,,
Book,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi",,,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi","De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi.md",ZLkECjPHfxmg,646497616170492526298,inception,,,,,,,,,,,,,,,,,,,
Book,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi",,,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi","De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi.md",ZLkECjPHfxmg,646497616170492526298,has_version,,,,,,,1565.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE003330,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hc5sH2Vo635b', 'label': 'Ludovico Avanzi'}",volume 1,https://www.digitale-sammlungen.de/en/view/bsb10207913,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10207913/manifest,,,,,,
Book,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi",,,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi","De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi.md",ZLkECjPHfxmg,646497616170492526298,has_version,,,,,,,1565.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE003330,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hc5sH2Vo635b', 'label': 'Ludovico Avanzi'}",volume 2,https://www.digitale-sammlungen.de/en/view/bsb10932571,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10932571/manifest,,,,,,
Book,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi",,,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi","De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi.md",ZLkECjPHfxmg,646497616170492526298,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/keEYSEu5vtER,Sperone Speroni,,,
Book,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi",,,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi","De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi.md",ZLkECjPHfxmg,646497616170492526298,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iE7ttpo9PSXy,Giovanni Battista Amalteo,,,
Book,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi",,,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi","De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi.md",ZLkECjPHfxmg,646497616170492526298,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RXbRZ4TCCK8o,Tommaso Spica,,,
Book,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi",,,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi","De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi.md",ZLkECjPHfxmg,646497616170492526298,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dbNtcx3kn4i7', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BZ54VTBDFUgN,Dionigi Atanagi,,,
Book,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi",,,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi","De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi.md",ZLkECjPHfxmg,646497616170492526298,subject,,,,,,,,,,,,,,,,,,,
Book,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi",,,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi","De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi.md",ZLkECjPHfxmg,646497616170492526298,has_part,,,,,,,,,,,,,,,,,,,
