class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,WVZrkshWg3EB,587782424684682007776,identifier,http://www.wikidata.org/entity/Q269690,,,,,,,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,WVZrkshWg3EB,587782424684682007776,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,WVZrkshWg3EB,587782424684682007776,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,WVZrkshWg3EB,587782424684682007776,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,WVZrkshWg3EB,587782424684682007776,work_location,,,,,,,,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,WVZrkshWg3EB,587782424684682007776,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MgqczonTr8bm,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia Olimpica di Vicenza,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,WVZrkshWg3EB,587782424684682007776,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bKuQkt4rpM43,courtesan,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,WVZrkshWg3EB,587782424684682007776,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bRregcw3FA5L,singer,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,WVZrkshWg3EB,587782424684682007776,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,WVZrkshWg3EB,587782424684682007776,related_to,,,,,,,,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,WVZrkshWg3EB,587782424684682007776,notable_work,,,,,,,,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,WVZrkshWg3EB,587782424684682007776,interested_in,,,,,,,,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,WVZrkshWg3EB,587782424684682007776,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,WVZrkshWg3EB,587782424684682007776,present_in_work,,,,,,,,,,,,,,,,,,
