class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Jacopo Bonfadio,,['Iacopo Bonfadio'],Jacopo Bonfadio,Jacopo Bonfadio.md,kcNdFLYPtm5z,879147884086223853053,identifier,http://www.wikidata.org/entity/Q1433261,,,,,,,,,,,,,,
Agent,Jacopo Bonfadio,,['Iacopo Bonfadio'],Jacopo Bonfadio,Jacopo Bonfadio.md,kcNdFLYPtm5z,879147884086223853053,described_by_source,,,,,,,,,,,,,,,
Agent,Jacopo Bonfadio,,['Iacopo Bonfadio'],Jacopo Bonfadio,Jacopo Bonfadio.md,kcNdFLYPtm5z,879147884086223853053,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,
Agent,Jacopo Bonfadio,,['Iacopo Bonfadio'],Jacopo Bonfadio,Jacopo Bonfadio.md,kcNdFLYPtm5z,879147884086223853053,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,
Agent,Jacopo Bonfadio,,['Iacopo Bonfadio'],Jacopo Bonfadio,Jacopo Bonfadio.md,kcNdFLYPtm5z,879147884086223853053,work_location,,,,,,,,,,,,,,,
Agent,Jacopo Bonfadio,,['Iacopo Bonfadio'],Jacopo Bonfadio,Jacopo Bonfadio.md,kcNdFLYPtm5z,879147884086223853053,member_of,,,,,,,,,,,,,,,
Agent,Jacopo Bonfadio,,['Iacopo Bonfadio'],Jacopo Bonfadio,Jacopo Bonfadio.md,kcNdFLYPtm5z,879147884086223853053,occupation,,,,,,,,,,,,,,,
Agent,Jacopo Bonfadio,,['Iacopo Bonfadio'],Jacopo Bonfadio,Jacopo Bonfadio.md,kcNdFLYPtm5z,879147884086223853053,related_to,,,,,,,,,,,,,,,
Agent,Jacopo Bonfadio,,['Iacopo Bonfadio'],Jacopo Bonfadio,Jacopo Bonfadio.md,kcNdFLYPtm5z,879147884086223853053,notable_work,,,,,,,,,,,,,,,
Agent,Jacopo Bonfadio,,['Iacopo Bonfadio'],Jacopo Bonfadio,Jacopo Bonfadio.md,kcNdFLYPtm5z,879147884086223853053,interested_in,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YtNYvYPNHggc,satire,,
Agent,Jacopo Bonfadio,,['Iacopo Bonfadio'],Jacopo Bonfadio,Jacopo Bonfadio.md,kcNdFLYPtm5z,879147884086223853053,interested_in,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G7vsGa9x682P,humorous poetry,,
Agent,Jacopo Bonfadio,,['Iacopo Bonfadio'],Jacopo Bonfadio,Jacopo Bonfadio.md,kcNdFLYPtm5z,879147884086223853053,interested_in,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrTwYNz6rjM4,heterodoxy,,
Agent,Jacopo Bonfadio,,['Iacopo Bonfadio'],Jacopo Bonfadio,Jacopo Bonfadio.md,kcNdFLYPtm5z,879147884086223853053,catalog_identifier,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",9255.0
