class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,language_value,language_label,text_value
PoeticWork,"Sonno, ch'al dolor mio puoi sol dar pace",,,"Sonno, ch'al dolor mio puoi sol dar pace","Sonno, ch'al dolor mio puoi sol dar pace.md",5V97eHU47bX9,71727687914360319715,identifier,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Sonno, ch'al dolor mio puoi sol dar pace",,,"Sonno, ch'al dolor mio puoi sol dar pace","Sonno, ch'al dolor mio puoi sol dar pace.md",5V97eHU47bX9,71727687914360319715,described_by_source,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Sonno, ch'al dolor mio puoi sol dar pace",,,"Sonno, ch'al dolor mio puoi sol dar pace","Sonno, ch'al dolor mio puoi sol dar pace.md",5V97eHU47bX9,71727687914360319715,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,
PoeticWork,"Sonno, ch'al dolor mio puoi sol dar pace",,,"Sonno, ch'al dolor mio puoi sol dar pace","Sonno, ch'al dolor mio puoi sol dar pace.md",5V97eHU47bX9,71727687914360319715,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AQ4Mxw23doRC,Laura Battiferri,,,,,,,,,,,,,,,
PoeticWork,"Sonno, ch'al dolor mio puoi sol dar pace",,,"Sonno, ch'al dolor mio puoi sol dar pace","Sonno, ch'al dolor mio puoi sol dar pace.md",5V97eHU47bX9,71727687914360319715,part_of,,,,,,,,"Laura Battiferri, III",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dbmAAqzyQVgt,(van Dooren 1992),,,,,,,,,,,,
PoeticWork,"Sonno, ch'al dolor mio puoi sol dar pace",,,"Sonno, ch'al dolor mio puoi sol dar pace","Sonno, ch'al dolor mio puoi sol dar pace.md",5V97eHU47bX9,71727687914360319715,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Sonno, ch'al dolor mio puoi sol dar pace",,,"Sonno, ch'al dolor mio puoi sol dar pace","Sonno, ch'al dolor mio puoi sol dar pace.md",5V97eHU47bX9,71727687914360319715,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Sonno, ch'al dolor mio puoi sol dar pace",,,"Sonno, ch'al dolor mio puoi sol dar pace","Sonno, ch'al dolor mio puoi sol dar pace.md",5V97eHU47bX9,71727687914360319715,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8sSx8HhcDxv6,anaphora,,,,,,,,
PoeticWork,"Sonno, ch'al dolor mio puoi sol dar pace",,,"Sonno, ch'al dolor mio puoi sol dar pace","Sonno, ch'al dolor mio puoi sol dar pace.md",5V97eHU47bX9,71727687914360319715,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eFCAfVmTYrRs,sleep,,,,,,,,
PoeticWork,"Sonno, ch'al dolor mio puoi sol dar pace",,,"Sonno, ch'al dolor mio puoi sol dar pace","Sonno, ch'al dolor mio puoi sol dar pace.md",5V97eHU47bX9,71727687914360319715,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,
PoeticWork,"Sonno, ch'al dolor mio puoi sol dar pace",,,"Sonno, ch'al dolor mio puoi sol dar pace","Sonno, ch'al dolor mio puoi sol dar pace.md",5V97eHU47bX9,71727687914360319715,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,
PoeticWork,"Sonno, ch'al dolor mio puoi sol dar pace",,,"Sonno, ch'al dolor mio puoi sol dar pace","Sonno, ch'al dolor mio puoi sol dar pace.md",5V97eHU47bX9,71727687914360319715,depicts,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Sonno, ch'al dolor mio puoi sol dar pace",,,"Sonno, ch'al dolor mio puoi sol dar pace","Sonno, ch'al dolor mio puoi sol dar pace.md",5V97eHU47bX9,71727687914360319715,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,"Sonno, ch'al dolor mio puoi sol dar pace",,,"Sonno, ch'al dolor mio puoi sol dar pace","Sonno, ch'al dolor mio puoi sol dar pace.md",5V97eHU47bX9,71727687914360319715,text,,,,,,,,,,,,,,,,,,,,,,"Sonno, che al dolor mio puoi sol dar pace,
Sonno, onde attendo e spero ogni mio bene,
Sonno, che dolce obblio d'amare pene
Porti per gl'occhi al cor, quando a te piace,

Al mio, ch'or senza te languendo giace,
Omai, deh, porgi aita, ch'altra spene
Non ha se 'l tuo soccorso a lui non viene
Altronde al martir suo duro e tenace.

Dalle Cimmerie valli e dall'antico
Antro ti sveglia, o sonno; e in questi miei
Occhi t'annida, o pur per poco torna;

Ed io per Lete giuro, a te sì amico,
Ogni luce odiar che 'l mondo adorna,
E drizzare al tuo nome archi e trofei."
