class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_start_date,member_of_end_date,member_of_label,member_of_reference,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,FJaARznhrRx9,274263417038834352331,identifier,http://www.wikidata.org/entity/Q601844,,,,,,,,,,,,,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,FJaARznhrRx9,274263417038834352331,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZifaaoQeYVLT,(Girotto 2017),,,,,,,,,,,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,FJaARznhrRx9,274263417038834352331,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,FJaARznhrRx9,274263417038834352331,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,FJaARznhrRx9,274263417038834352331,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,Venezia,,,,,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,FJaARznhrRx9,274263417038834352331,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Hm8LNCNr7Wxn,Firenze,,,,,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,FJaARznhrRx9,274263417038834352331,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PcSAmp3XwxFu,1543.0,1544.0,Accademia degli Ortolani di Piacenza,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,FJaARznhrRx9,274263417038834352331,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2ogdnLXMgrhJ,1545.0,1546.0,Accademia Fiorentina,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZifaaoQeYVLT', 'label': '(Girotto 2017)'}]",,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,FJaARznhrRx9,274263417038834352331,occupation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hYMECrC2z35,publisher,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,FJaARznhrRx9,274263417038834352331,occupation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq,author,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,FJaARznhrRx9,274263417038834352331,related_to,,,,,,,,,,,,,,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,FJaARznhrRx9,274263417038834352331,notable_work,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SKyewNmUMKH3,Accademia dei Pellegrini,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,FJaARznhrRx9,274263417038834352331,interested_in,,,,,,,,,,,,,,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,FJaARznhrRx9,274263417038834352331,catalog_identifier,,,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",15698.0
