class,base_name,filename,label,id,n_id,property,instance_of_value,subclass_of_value,identifier_value
Concept,occupation,occupation.md,occupation,6oNeDcfvTHyK,98966162869262855615,instance_of,,,
Concept,occupation,occupation.md,occupation,6oNeDcfvTHyK,98966162869262855615,subclass_of,,,
Concept,occupation,occupation.md,occupation,6oNeDcfvTHyK,98966162869262855615,identifier,,,http://www.wikidata.org/entity/Q12737077
