class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label
Concept,incomplete,,['partially'],incomplete,incomplete.md,gFBshLVTMG7b,788933329305714411177,identifier,http://www.wikidata.org/entity/Q100349848,,
Concept,incomplete,,['partially'],incomplete,incomplete.md,gFBshLVTMG7b,788933329305714411177,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/V4dxiKAaioCZ,(Toffetti et al. 2026)
