class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,BMqAigBp8uEo,192901221985292896482,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,BMqAigBp8uEo,192901221985292896482,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,BMqAigBp8uEo,192901221985292896482,work_location,,,,,,,,,,,,,,,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,BMqAigBp8uEo,192901221985292896482,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mWwsLAHpHDwR,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH', 'label': '(Tostini 2017)'}]",Accademia dei Gelati di Bologna,,,,,,,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,BMqAigBp8uEo,192901221985292896482,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PE5uAEyVKtpe,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH', 'label': '(Tostini 2017)'}]",Accademia degli Umoristi di Roma,,,,,,,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,BMqAigBp8uEo,192901221985292896482,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,BMqAigBp8uEo,192901221985292896482,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/H6ou6HrJ3pgn,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Jx7QABaT7gnR', 'label': 'sibling'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH', 'label': '(Tostini 2017)'}]",Guidubaldo Bonarelli della Rovere,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,BMqAigBp8uEo,192901221985292896482,notable_work,,,,,,,,,,,,,,,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,BMqAigBp8uEo,192901221985292896482,interested_in,,,,,,,,,,,,,,,,,,
Agent,Prospero Bonarelli della Rovere,Prospero Bonarelli della Rovere.md,Prospero Bonarelli della Rovere,BMqAigBp8uEo,192901221985292896482,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",5111.0
