class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publisher,has_version_publication_date,has_version_permalink,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,Nxhw4GboyMN8,432521414931401419872,identifier,http://id.sbn.it/bid/BVEE026890,,,,,,,,,,,,,,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,Nxhw4GboyMN8,432521414931401419872,described_by_source,,,,,,,,,,,,,,,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,Nxhw4GboyMN8,432521414931401419872,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9YvFDAQRhxtE,drama collection,,,,,,,,,,,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,Nxhw4GboyMN8,432521414931401419872,title,,,,,Drammi musicali di Ottauio Tronsarelli,,,,,,,,,,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,Nxhw4GboyMN8,432521414931401419872,inception,,,,,,,,,,,,,,,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,Nxhw4GboyMN8,432521414931401419872,has_version,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE', 'label': 'Roma'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bgMijkuarQNu', 'label': 'Francesco Corbelletti'}",1631.0,http://id.sbn.it/bid/BVEE026890,https://books.google.be/books?id=x0WjAEwzJ2QC,,,,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,Nxhw4GboyMN8,432521414931401419872,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gdhbB82oLsBz,Maurizio di Savoia,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,Nxhw4GboyMN8,432521414931401419872,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iRCYDktcXg33,Ottavio Tronsarelli,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,Nxhw4GboyMN8,432521414931401419872,subject,,,,,,,,,,,,,,,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,Nxhw4GboyMN8,432521414931401419872,has_part,,,,,,,,,,,,,,,,,
Book,Drammi musicali di Ottavio Tronsarelli,,,Drammi musicali di Ottavio Tronsarelli,Drammi musicali di Ottavio Tronsarelli.md,Nxhw4GboyMN8,432521414931401419872,based_on,,,,,,,,,,,,,,,,,
