class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_label,occupation_value,related_to_value,notable_work_value,notable_work_label,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,WdSP8EMksryz,590631150858245257379,identifier,http://www.wikidata.org/entity/Q22334087,,,,,,,,,,,,,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,WdSP8EMksryz,590631150858245257379,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,WdSP8EMksryz,590631150858245257379,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,WdSP8EMksryz,590631150858245257379,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,WdSP8EMksryz,590631150858245257379,work_location,,,,,,,,,,,,,,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,WdSP8EMksryz,590631150858245257379,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aTk9hoymKNbk,Accademia delle Virtù,,,,,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,WdSP8EMksryz,590631150858245257379,occupation,,,,,,,,,,,,,,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,WdSP8EMksryz,590631150858245257379,related_to,,,,,,,,,,,,,,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,WdSP8EMksryz,590631150858245257379,notable_work,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WLLhoFbCkx93,Formaggiata di Sere Stentato al serenissimo re della virtude,,,,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,WdSP8EMksryz,590631150858245257379,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dkw9yTeHkpNT,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5ZmX4c5h8CRb', 'label': '(Moroncini 2017)'}]",heterodoxy,,
Agent,Giulio Landi,,,Giulio Landi,Giulio Landi.md,WdSP8EMksryz,590631150858245257379,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",18094.0
