class,aliases,base_name,filename,label,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,['Isacco Casaubono'],Isaac Casaubon,Isaac Casaubon.md,Isaac Casaubon,cSpRJMnv2qAA,710604158395997777729,identifier,http://www.wikidata.org/entity/Q436002,,,,,,,,,,,,,,,,
Agent,['Isacco Casaubono'],Isaac Casaubon,Isaac Casaubon.md,Isaac Casaubon,cSpRJMnv2qAA,710604158395997777729,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9kWUQV9GFXbL,(Grafton 1990),,,,,,,,,,,,,,
Agent,['Isacco Casaubono'],Isaac Casaubon,Isaac Casaubon.md,Isaac Casaubon,cSpRJMnv2qAA,710604158395997777729,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,['Isacco Casaubono'],Isaac Casaubon,Isaac Casaubon.md,Isaac Casaubon,cSpRJMnv2qAA,710604158395997777729,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,['Isacco Casaubono'],Isaac Casaubon,Isaac Casaubon.md,Isaac Casaubon,cSpRJMnv2qAA,710604158395997777729,work_location,,,,,,,,,,,,,,,,,
Agent,['Isacco Casaubono'],Isaac Casaubon,Isaac Casaubon.md,Isaac Casaubon,cSpRJMnv2qAA,710604158395997777729,member_of,,,,,,,,,,,,,,,,,
Agent,['Isacco Casaubono'],Isaac Casaubon,Isaac Casaubon.md,Isaac Casaubon,cSpRJMnv2qAA,710604158395997777729,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4GV6wBhpBTG5,historian,,,,,,
Agent,['Isacco Casaubono'],Isaac Casaubon,Isaac Casaubon.md,Isaac Casaubon,cSpRJMnv2qAA,710604158395997777729,related_to,,,,,,,,,,,,,,,,,
Agent,['Isacco Casaubono'],Isaac Casaubon,Isaac Casaubon.md,Isaac Casaubon,cSpRJMnv2qAA,710604158395997777729,notable_work,,,,,,,,,,,,,,,,,
Agent,['Isacco Casaubono'],Isaac Casaubon,Isaac Casaubon.md,Isaac Casaubon,cSpRJMnv2qAA,710604158395997777729,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Kw3fHBF6Lnp4,classical antiquity,,
Agent,['Isacco Casaubono'],Isaac Casaubon,Isaac Casaubon.md,Isaac Casaubon,cSpRJMnv2qAA,710604158395997777729,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SrVPa4TA2i3P,satire,,
Agent,['Isacco Casaubono'],Isaac Casaubon,Isaac Casaubon.md,Isaac Casaubon,cSpRJMnv2qAA,710604158395997777729,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,['Isacco Casaubono'],Isaac Casaubon,Isaac Casaubon.md,Isaac Casaubon,cSpRJMnv2qAA,710604158395997777729,present_in_work,,,,,,,,,,,,,,,,,
