class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_publisher,has_version_place_of_publication,has_version_permalink,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,catalog_identifier_value
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,dUxL6iZT2qYu,732014356755160340313,identifier,https://edit16.iccu.sbn.it/titolo/CNCE038182,,,,,,,,,,,,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,dUxL6iZT2qYu,732014356755160340313,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,dUxL6iZT2qYu,732014356755160340313,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,dUxL6iZT2qYu,732014356755160340313,title,,,,,,"Rime di diuersi celebri poeti dell'età nostra: nuouamente raccolte, e poste in luce",,,,,,,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,dUxL6iZT2qYu,732014356755160340313,inception,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,dUxL6iZT2qYu,732014356755160340313,has_version,,,,,,,,1587.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bMbySjzKcojd', 'label': 'Comino Ventura'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dYitBDGB87fT', 'label': 'Bergamo'}]",https://edit16.iccu.sbn.it/titolo/CNCE038182,https://books.google.it/books?id=RKFP6-8DuOEC,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,dUxL6iZT2qYu,732014356755160340313,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o8dUJLYPmTmL,Orsola Bertolai,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,dUxL6iZT2qYu,732014356755160340313,subject,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,dUxL6iZT2qYu,732014356755160340313,has_part,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,dUxL6iZT2qYu,732014356755160340313,based_on,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi celebri poeti dell'età nostra,,,Rime di diversi celebri poeti dell'età nostra,Rime di diversi celebri poeti dell'età nostra.md,dUxL6iZT2qYu,732014356755160340313,catalog_identifier,,,,,,,,,,,,,,,,,,,
