class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_IIIF_manifest,has_version_permalink,has_version_external_source,has_version_publication_date,has_version_note,has_version_place_of_publication,has_version_holding_institution,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,based_on_label,catalog_identifier_value,has_part_value,depicts_value
Book,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","French edition, recycling xylographies from Italian versions of the epic poem.",,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce.md",oFCfg3DJgMRh,933389640321428422170,identifier,http://ark.bnf.fr/ark:/12148/cb30026885n,,,,,,,,,,,,,,,,,,,,,,,
Book,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","French edition, recycling xylographies from Italian versions of the epic poem.",,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce.md",oFCfg3DJgMRh,933389640321428422170,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
Book,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","French edition, recycling xylographies from Italian versions of the epic poem.",,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce.md",oFCfg3DJgMRh,933389640321428422170,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,,,,,,,,,,,,,
Book,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","French edition, recycling xylographies from Italian versions of the epic poem.",,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce.md",oFCfg3DJgMRh,933389640321428422170,title,,,,,"Orlando furioso, di M. Lodovico Ariosto... con cinque canti... et altre stanze del medesimo nuovamente aggiunti, con belle allegorie, et nel fine una breve espositione (da Lodovico Dolce)",,,,,,,,,,,,,,,,,,,
Book,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","French edition, recycling xylographies from Italian versions of the epic poem.",,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce.md",oFCfg3DJgMRh,933389640321428422170,inception,,,,,,1556.0,,,,,,,,,,,,,,,,,,
Book,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","French edition, recycling xylographies from Italian versions of the epic poem.",,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce.md",oFCfg3DJgMRh,933389640321428422170,has_version,,,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k8701226j/manifest.json,http://ark.bnf.fr/ark:/12148/cb30026885n,https://gallica.bnf.fr/ark:/12148/bpt6k8701226j,1556.0,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FmLkF92dzdYD', 'label': 'Lyon'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S8XWwiEFCvS3', 'label': 'Bibliothèque nationale de France'}",,,,,,,,,,,
Book,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","French edition, recycling xylographies from Italian versions of the epic poem.",,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce.md",oFCfg3DJgMRh,933389640321428422170,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EBMKwsCza3hd,Ludovico Ariosto,,,,,,,
Book,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","French edition, recycling xylographies from Italian versions of the epic poem.",,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce.md",oFCfg3DJgMRh,933389640321428422170,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7pUzikYB2CFB', 'label': 'commentator'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gNdzPXA2ZGEx,Lodovico Dolce,,,,,,,
Book,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","French edition, recycling xylographies from Italian versions of the epic poem.",,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce.md",oFCfg3DJgMRh,933389640321428422170,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EQa8x6MU8Hoz,art print,,,,,
Book,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","French edition, recycling xylographies from Italian versions of the epic poem.",,"Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce","Orlando furioso di M. Lodovico Ariosto. Con belle allegorie, et nel fine una breve esposizione di Lodovico Dolce.md",oFCfg3DJgMRh,933389640321428422170,based_on,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso,,,
