class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_volume,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,aTJxVyegiife,669507325120168609188,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,aTJxVyegiife,669507325120168609188,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,aTJxVyegiife,669507325120168609188,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,aTJxVyegiife,669507325120168609188,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U54h5JspdXgD,Giovanni Maria Bonardo,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,aTJxVyegiife,669507325120168609188,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PqX4kUDKqx44,Issicratea Monte,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,aTJxVyegiife,669507325120168609188,part_of,,,,,,,,Sonetto della Sig. Issicratea Monte al C.B.F.,34.0,2nd edition,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iDJjy4U3Wogz,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,,,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,aTJxVyegiife,669507325120168609188,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,aTJxVyegiife,669507325120168609188,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,aTJxVyegiife,669507325120168609188,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,aTJxVyegiife,669507325120168609188,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,aTJxVyegiife,669507325120168609188,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,aTJxVyegiife,669507325120168609188,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U54h5JspdXgD,Giovanni Maria Bonardo,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,aTJxVyegiife,669507325120168609188,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,aTJxVyegiife,669507325120168609188,text,,,,,,,,,,,,,,,,,,,,,,,,,"Mentre lontana sol contemplo quella
Vostra rara virtù, degna di rima
Spinge ad alzarmi all'alta cagion prima
Un non so, che divin, ch'io scorgo in ella.

Quinci s'apre la via, diritta, e bella,
Onde il mio nome poggi in ogni clima
Ne'l bagni oblio di lete, o roda lima
D'invida o furi mai proterva stella.

Quinci l'alma produce, un pensier saggio,
Che mi cerca inalzar, con bianche piume,
E portar dalli Esperi, a lidi Eoi,

Se dunque luce in me benigno raggio,
O si scopre virtù del divin lume
Tutto BONARDO sol nasce da voi."
