class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,based_on_label,catalog_identifier_value,has_part_value,depicts_value,language_value,language_label
Book,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,,,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga.md,cXB4Hhoxitii,712176979680295347013,identifier,https://edit16.iccu.sbn.it/titolo/CNCE021439,,,,,,,,,,,,,,,,,,,,,,
Book,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,,,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga.md,cXB4Hhoxitii,712176979680295347013,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SU3pQXxUvDMC,(Driscoll 2022),,,,,,,,,,,,,,,,,,,,
Book,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,,,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga.md,cXB4Hhoxitii,712176979680295347013,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,,,,,,,,,,,
Book,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,,,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga.md,cXB4Hhoxitii,712176979680295347013,title,,,,,,"Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga, ricorretto da lui, et di nuouo ristampato, aggiuntiui gli argomenti dell'illustre, & virtuosiss. signora Maddalena Campiglia, & con le moralita d'incerto autore",,,,,,,,,,,,,,,,,
Book,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,,,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga.md,cXB4Hhoxitii,712176979680295347013,inception,,,,,,,1591.0,,,,,,,,,,,,,,,,
Book,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,,,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga.md,cXB4Hhoxitii,712176979680295347013,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE021439,1591.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",https://www.google.be/books/edition/Il_Fidamante/R54A3d5fML8C,,,,,,,,,,,,
Book,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,,,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga.md,cXB4Hhoxitii,712176979680295347013,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7pUzikYB2CFB', 'label': 'commentator'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7anjVSBTbe3C,Maddalena Campiglia,,,,,,,,,
Book,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,,,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga.md,cXB4Hhoxitii,712176979680295347013,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8GvHmwR26GRn,chivalry,,,,,,,
Book,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,,,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga.md,cXB4Hhoxitii,712176979680295347013,based_on,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso,,,,,
Book,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,,,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga.md,cXB4Hhoxitii,712176979680295347013,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,
