class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,member_of_start_date,occupation_value,occupation_label,related_to_value,related_to_reference,related_to_label,related_to_relationship,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,bgExG22ootgh,694824225152771386656,identifier,http://www.wikidata.org/entity/Q113853427,,,,,,,,,,,,,,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,bgExG22ootgh,694824225152771386656,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eFqHfpSQSasp,(Terzaghi 2017),,,,,,,,,,,,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,bgExG22ootgh,694824225152771386656,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,bgExG22ootgh,694824225152771386656,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,bgExG22ootgh,694824225152771386656,work_location,,,,,,,,,,,,,,,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,bgExG22ootgh,694824225152771386656,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZbL7oMBFYF42,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eFqHfpSQSasp', 'label': '(Terzaghi 2017)'}]",Accademia degli Sterili di Roma,,,,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,bgExG22ootgh,694824225152771386656,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bC9ap7cjMHkW,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eFqHfpSQSasp', 'label': '(Terzaghi 2017)'}]",Accademia degli Ordinati di Roma,1627.0,,,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,bgExG22ootgh,694824225152771386656,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PE5uAEyVKtpe,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eFqHfpSQSasp', 'label': '(Terzaghi 2017)'}]",Accademia degli Umoristi di Roma,,,,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,bgExG22ootgh,694824225152771386656,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,bgExG22ootgh,694824225152771386656,related_to,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/c6NfMc4aLaby,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eFqHfpSQSasp', 'label': '(Terzaghi 2017)'}]",Giambattista Marino,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,bgExG22ootgh,694824225152771386656,related_to,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6bGRNjZNEe7C,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eFqHfpSQSasp', 'label': '(Terzaghi 2017)'}]",Agostino Mascardi,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YfzLsQJEZKc3', 'label': 'rival'}",,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,bgExG22ootgh,694824225152771386656,related_to,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cJtcdpKoAasW,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eFqHfpSQSasp', 'label': '(Terzaghi 2017)'}]",Domenico Mazzocchi,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GWw8DELtG846', 'label': 'colleague'}",,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,bgExG22ootgh,694824225152771386656,notable_work,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZjFvAdM6R83B,La Catena d'Adone,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,bgExG22ootgh,694824225152771386656,interested_in,,,,,,,,,,,,,,,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,bgExG22ootgh,694824225152771386656,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",18169.0
