class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,PyvYiXtiydV2,453599429101435016442,identifier,http://www.wikidata.org/entity/Q2886104,,,,,,,,,,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,PyvYiXtiydV2,453599429101435016442,described_by_source,,,,,,,,,,,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,PyvYiXtiydV2,453599429101435016442,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,PyvYiXtiydV2,453599429101435016442,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,PyvYiXtiydV2,453599429101435016442,work_location,,,,,,,,,,,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,PyvYiXtiydV2,453599429101435016442,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJz77hnWWSNh,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eqXqmD8qjEdV', 'label': '(Moralejo Ortega 2017)'}]",Accademia degli Insensati di Perugia,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,PyvYiXtiydV2,453599429101435016442,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4GV6wBhpBTG5,historian,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,PyvYiXtiydV2,453599429101435016442,related_to,,,,,,,,,,,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,PyvYiXtiydV2,453599429101435016442,notable_work,,,,,,,,,,,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,PyvYiXtiydV2,453599429101435016442,interested_in,,,,,,,,,,,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,PyvYiXtiydV2,453599429101435016442,catalog_identifier,,,,,,,,,,,,,,,,
