class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,YTPwqrMcE5f4,628267210062301253579,identifier,,,,,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,YTPwqrMcE5f4,628267210062301253579,described_by_source,,,,,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,YTPwqrMcE5f4,628267210062301253579,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,YTPwqrMcE5f4,628267210062301253579,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,YTPwqrMcE5f4,628267210062301253579,work_location,,,,,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,YTPwqrMcE5f4,628267210062301253579,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJz77hnWWSNh,Accademia degli Insensati di Perugia,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,YTPwqrMcE5f4,628267210062301253579,occupation,,,,,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,YTPwqrMcE5f4,628267210062301253579,related_to,,,,,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,YTPwqrMcE5f4,628267210062301253579,notable_work,,,,,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,YTPwqrMcE5f4,628267210062301253579,interested_in,,,,,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,YTPwqrMcE5f4,628267210062301253579,catalog_identifier,,,,,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,YTPwqrMcE5f4,628267210062301253579,present_in_work,,,,,,,,,,,,,,,
