class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,UY2iX2LomaFt,547398911032444896254,identifier,http://www.wikidata.org/entity/Q4785229,,,,,,,,,,,,,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,UY2iX2LomaFt,547398911032444896254,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,UY2iX2LomaFt,547398911032444896254,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,UY2iX2LomaFt,547398911032444896254,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,UY2iX2LomaFt,547398911032444896254,work_location,,,,,,,,,,,,,,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,UY2iX2LomaFt,547398911032444896254,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dXzN4ZwoQDDu,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia degli Incogniti di Venezia,,,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,UY2iX2LomaFt,547398911032444896254,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mM4gT9oXJYNU,Christian nun,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,UY2iX2LomaFt,547398911032444896254,related_to,,,,,,,,,,,,,,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,UY2iX2LomaFt,547398911032444896254,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,UY2iX2LomaFt,547398911032444896254,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TNEkus8TKX7L,querelle des femmes,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,UY2iX2LomaFt,547398911032444896254,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fGNbusFoz4E3', 'label': 'Italian Women Writers'}",A0048
