class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_permalink,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_note,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,FpY8YVUe84HJ,285111503879131606237,identifier,http://id.sbn.it/bid/UBOE035209,,,,,,,,,,,,,,,,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,FpY8YVUe84HJ,285111503879131606237,identifier,http://www.bibliotecaitaliana.it/testo/bibit000657,,,,,,,,,,,,,,,,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,FpY8YVUe84HJ,285111503879131606237,described_by_source,,,,,,,,,,,,,,,,,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,FpY8YVUe84HJ,285111503879131606237,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,FpY8YVUe84HJ,285111503879131606237,title,,,,,La galeria del caualier Marino. Distinta in pitture & sculture,,,,,,,,,,,,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,FpY8YVUe84HJ,285111503879131606237,inception,,,,,,1619.0,,,,,,,,,,,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,FpY8YVUe84HJ,285111503879131606237,has_version,,,,,,,1630.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FLES2CoRQYLJ', 'label': 'Giovanni Battista Ciotti'}",http://id.sbn.it/bid/UBOE035209,https://books.google.be/books?id=cmj518mOFcYC,https://jmms.iccu.sbn.it/jmms/metadata/UW01alpnX18_/b2FpOmJuY2YuZmlyZW56ZS5zYm4uaXQ6MjE6RkkwMDk4Ok1hZ2xpYWJlY2hpOlVCT0UwMzUyMDk_/manifest.json,,,,,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,FpY8YVUe84HJ,285111503879131606237,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VbtzBMrKaKTG,"Two paintings by Roncalli are set to poems, respectively 'Pallade che visita le Muse' and 'San Pietro piangente'. ",Cristoforo Roncalli,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,FpY8YVUe84HJ,285111503879131606237,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/692cVZSpt5VS,,Giambattista Marino,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,FpY8YVUe84HJ,285111503879131606237,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eihJDhFoMudj,visual arts,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,FpY8YVUe84HJ,285111503879131606237,has_part,,,,,,,,,,,,,,,,,,,,
Book,La galeria del caualier Marino. Distinta in pitture & sculture,,,La galeria del caualier Marino. Distinta in pitture & sculture,La galeria del caualier Marino. Distinta in pitture & sculture.md,FpY8YVUe84HJ,285111503879131606237,based_on,,,,,,,,,,,,,,,,,,,,
