class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,inception_sourcing_circumstances,inception_reference,dissolved_value,dissolved_reference,location_value,official_website_value,catalog_identifier_source,catalog_identifier_value,member_reference,member_value,member_label,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,XdwhRgTghgyq,611453283001353268907,identifier,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,XdwhRgTghgyq,611453283001353268907,described_by_source,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,XdwhRgTghgyq,611453283001353268907,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,XdwhRgTghgyq,611453283001353268907,inception,,,,,1530.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,XdwhRgTghgyq,611453283001353268907,dissolved,,,,,,,,1555.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,XdwhRgTghgyq,611453283001353268907,location,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,XdwhRgTghgyq,611453283001353268907,official_website,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,XdwhRgTghgyq,611453283001353268907,catalog_identifier,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",92.0,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,XdwhRgTghgyq,611453283001353268907,member,,,,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KTTcKbc6LXkT,Scipione Capece,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,XdwhRgTghgyq,611453283001353268907,interested_in,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,XdwhRgTghgyq,611453283001353268907,notable_work,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,XdwhRgTghgyq,611453283001353268907,related_to,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,XdwhRgTghgyq,611453283001353268907,motto,,,,,,,,,,,,,,,,,,,,
