class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,described_by_source_value,described_by_source_label
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,ezwY5x5BbrjW,763506240788082448834,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,ezwY5x5BbrjW,763506240788082448834,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,ezwY5x5BbrjW,763506240788082448834,work_location,,,,,,,,,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,ezwY5x5BbrjW,763506240788082448834,member_of,,,,,,,,,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,ezwY5x5BbrjW,763506240788082448834,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9EG2tE8aFH7w,painter,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,ezwY5x5BbrjW,763506240788082448834,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,ezwY5x5BbrjW,763506240788082448834,related_to,,,,,,,,,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,ezwY5x5BbrjW,763506240788082448834,notable_work,,,,,,,,,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,ezwY5x5BbrjW,763506240788082448834,interested_in,,,,,,,,,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,ezwY5x5BbrjW,763506240788082448834,catalog_identifier,,,,,,,,,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,ezwY5x5BbrjW,763506240788082448834,described_by_source,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Zq9ksBtTYP9n,(Nicolaci 2017)
