class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,interested_in_label,interested_in_reference,catalog_identifier_source,catalog_identifier_value
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,f56LGEz2kCWP,764641835423428709229,identifier,http://www.wikidata.org/entity/Q3952391,,,,,,,,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,f56LGEz2kCWP,764641835423428709229,described_by_source,,,,,,,,,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,f56LGEz2kCWP,764641835423428709229,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,f56LGEz2kCWP,764641835423428709229,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,f56LGEz2kCWP,764641835423428709229,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2P97RzuZEUPb,Siena,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,f56LGEz2kCWP,764641835423428709229,member_of,,,,,,,,,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,f56LGEz2kCWP,764641835423428709229,occupation,,,,,,,,,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,f56LGEz2kCWP,764641835423428709229,related_to,,,,,,,,,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,f56LGEz2kCWP,764641835423428709229,notable_work,,,,,,,,,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,f56LGEz2kCWP,764641835423428709229,interested_in,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GewRJWWph5KT,parlour game,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,f56LGEz2kCWP,764641835423428709229,interested_in,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NALenMNqEw64,impresa,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FhzJj6sXkzSq', 'label': '(Teza 2017)'}]",,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,f56LGEz2kCWP,764641835423428709229,catalog_identifier,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",16248.0
