class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_volume,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",SjJ7gPC2o9Sa,510207219572186886719,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",SjJ7gPC2o9Sa,510207219572186886719,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",SjJ7gPC2o9Sa,510207219572186886719,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",SjJ7gPC2o9Sa,510207219572186886719,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cnEPDxq7rFvj,Virginia Martini Salvi,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",SjJ7gPC2o9Sa,510207219572186886719,part_of,,,,,,,,152.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ENUbQJ8t6z8B,1.0,Virginia Martini Salvi.,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,,,,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",SjJ7gPC2o9Sa,510207219572186886719,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",SjJ7gPC2o9Sa,510207219572186886719,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",SjJ7gPC2o9Sa,510207219572186886719,subject,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",SjJ7gPC2o9Sa,510207219572186886719,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",SjJ7gPC2o9Sa,510207219572186886719,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
