class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,aqjB3M2r3BpW,677625778565465177281,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/000430000101_PPPP00011000C,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,aqjB3M2r3BpW,677625778565465177281,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,aqjB3M2r3BpW,677625778565465177281,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,aqjB3M2r3BpW,677625778565465177281,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kUiiaYvUfK7o,Isabella Andreini,,,,,,,,,,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,aqjB3M2r3BpW,677625778565465177281,part_of,,,,,,,,,Mad. LXXX.,151.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7Pmih35JHCN,Rime d'Isabella Andreini padovana comica Gelosa,,,,,,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,aqjB3M2r3BpW,677625778565465177281,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,aqjB3M2r3BpW,677625778565465177281,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,aqjB3M2r3BpW,677625778565465177281,subject,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,aqjB3M2r3BpW,677625778565465177281,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,aqjB3M2r3BpW,677625778565465177281,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,aqjB3M2r3BpW,677625778565465177281,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,aqjB3M2r3BpW,677625778565465177281,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VyiHhzpodNyS,eye,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,aqjB3M2r3BpW,677625778565465177281,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DZwg5ijCKnjb,light beam,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,aqjB3M2r3BpW,677625778565465177281,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/c4Xg69omaPKA,thousand,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,aqjB3M2r3BpW,677625778565465177281,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TRHMAMaRfnLP,torment,,,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,aqjB3M2r3BpW,677625778565465177281,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Per pietà di me stesso,,,Per pietà di me stesso,Per pietà di me stesso.md,aqjB3M2r3BpW,677625778565465177281,text,,,,,,,,,,,,,,,,,,,,,,,,"Per pietà di me stesso
Me medesmo bandisco
Da quel bel volto, ch'ho ne l'alma impresso;
Perché qualhor ardisco
D'avvicinarmi a quei duo soli ardenti
Provo per un piacer mille tormenti."
