class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_role,member_of_start_date,member_of_reference,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,Tj7254BPQYb6,530772627164505943531,identifier,,,,,,,,,,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,Tj7254BPQYb6,530772627164505943531,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Zq9ksBtTYP9n,(Nicolaci 2017),,,,,,,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,Tj7254BPQYb6,530772627164505943531,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,Tj7254BPQYb6,530772627164505943531,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,Tj7254BPQYb6,530772627164505943531,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fdXpSqLMpmkp,Lucca,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,Tj7254BPQYb6,530772627164505943531,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XXLg4GyAAia7,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}",1584.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Zq9ksBtTYP9n', 'label': '(Nicolaci 2017)'}]",Accademia degli Oscuri di Lucca,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,Tj7254BPQYb6,530772627164505943531,occupation,,,,,,,,,,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,Tj7254BPQYb6,530772627164505943531,related_to,,,,,,,,,,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,Tj7254BPQYb6,530772627164505943531,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,Tj7254BPQYb6,530772627164505943531,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,Tj7254BPQYb6,530772627164505943531,catalog_identifier,,,,,,,,,,,,,,,,,,,
